t(s),cat,react1,react2,int1,int2,int3,prod,water
6.10000000e+04,3.37345711e-07,1.65122413e-01,1.65381583e-01,5.18338783e-04,2.38038450e-05,5.99197676e-01,6.97558483e-02,0.00000000e+00
6.20000000e+04,3.39695696e-07,1.64548110e-01,1.64808178e-01,5.20134222e-04,2.38034798e-05,5.99194976e-01,7.09044585e-02,0.00000000e+00
6.30000000e+04,3.42070286e-07,1.63973810e-01,1.64234781e-01,5.21942095e-04,2.38031113e-05,5.99192258e-01,7.20530635e-02,0.00000000e+00
6.40000000e+04,3.44469826e-07,1.63399513e-01,1.63661394e-01,5.23762532e-04,2.38027392e-05,5.99189520e-01,7.32016632e-02,0.00000000e+00
6.50000000e+04,3.46894664e-07,1.62825218e-01,1.63088016e-01,5.25595662e-04,2.38023637e-05,5.99186763e-01,7.43502577e-02,0.00000000e+00
6.60000000e+04,3.49345158e-07,1.62250926e-01,1.62514647e-01,5.27441620e-04,2.38019846e-05,5.99183988e-01,7.54988469e-02,0.00000000e+00
6.70000000e+04,3.51821670e-07,1.61676636e-01,1.61941287e-01,5.29300538e-04,2.38016019e-05,5.99181192e-01,7.66474307e-02,0.00000000e+00
6.80000000e+04,3.54324569e-07,1.61102350e-01,1.61367936e-01,5.31172555e-04,2.38012155e-05,5.99178377e-01,7.77960092e-02,0.00000000e+00
6.90000000e+04,3.56854232e-07,1.60528066e-01,1.60794595e-01,5.33057808e-04,2.38008255e-05,5.99175542e-01,7.89445822e-02,0.00000000e+00
7.00000000e+04,3.59411040e-07,1.59953784e-01,1.60221263e-01,5.34956438e-04,2.38004316e-05,5.99172687e-01,8.00931498e-02,0.00000000e+00
7.10000000e+04,3.61995383e-07,1.59379506e-01,1.59647940e-01,5.36868587e-04,2.38000340e-05,5.99169811e-01,8.12417119e-02,0.00000000e+00
7.20000000e+04,3.64607657e-07,1.58805230e-01,1.59074628e-01,5.38794399e-04,2.37996326e-05,5.99166915e-01,8.23902685e-02,0.00000000e+00
7.30000000e+04,3.67248266e-07,1.58230958e-01,1.58501325e-01,5.40734021e-04,2.37992272e-05,5.99163998e-01,8.35388195e-02,0.00000000e+00
7.40000000e+04,3.69917619e-07,1.57656687e-01,1.57928031e-01,5.42687601e-04,2.37988179e-05,5.99161060e-01,8.46873649e-02,0.00000000e+00
7.50000000e+04,3.72616135e-07,1.57082420e-01,1.57354748e-01,5.44655290e-04,2.37984045e-05,5.99158101e-01,8.58359046e-02,0.00000000e+00
