t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
5.80000000e+04,2.98000000e+02,1.40780990e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07928002e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.90000000e+04,2.98000000e+02,1.40638638e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07818870e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.00000000e+04,2.98000000e+02,1.40496289e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07709740e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.10000000e+04,2.98000000e+02,1.40353941e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07600611e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.20000000e+04,2.98000000e+02,1.40211596e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07491484e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.30000000e+04,2.98000000e+02,1.40069254e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07382359e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.40000000e+04,2.98000000e+02,1.39926913e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07273235e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.50000000e+04,2.98000000e+02,1.39784574e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07164113e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.60000000e+04,2.98000000e+02,1.39642238e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.07054993e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.70000000e+04,2.98000000e+02,1.39499904e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06945874e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.80000000e+04,2.98000000e+02,1.39357573e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06836758e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
6.90000000e+04,2.98000000e+02,1.39215244e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06727643e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.00000000e+04,2.98000000e+02,1.39072917e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06618530e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.10000000e+04,2.98000000e+02,1.38930592e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06509418e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.20000000e+04,2.98000000e+02,1.38788270e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06400309e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.30000000e+04,2.98000000e+02,1.38645951e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06291201e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.40000000e+04,2.98000000e+02,1.38503633e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06182095e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.50000000e+04,2.98000000e+02,1.38361319e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.06072992e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.60000000e+04,2.98000000e+02,1.38219006e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05963890e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.70000000e+04,2.98000000e+02,1.38076697e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05854790e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.80000000e+04,2.98000000e+02,1.37934389e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05745692e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+04,2.98000000e+02,1.37792085e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05636595e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.00000000e+04,2.98000000e+02,1.37649783e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05527501e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.10000000e+04,2.98000000e+02,1.37507483e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05418409e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.20000000e+04,2.98000000e+02,1.37365186e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05309319e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.30000000e+04,2.98000000e+02,1.37222892e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05200231e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.40000000e+04,2.98000000e+02,1.37080601e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.05091145e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.50000000e+04,2.98000000e+02,1.36938312e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04982061e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.60000000e+04,2.98000000e+02,1.36796026e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04872980e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.70000000e+04,2.98000000e+02,1.36653743e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04763900e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.80000000e+04,2.98000000e+02,1.36511463e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04654822e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
8.90000000e+04,2.98000000e+02,1.36369185e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04545747e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.00000000e+04,2.98000000e+02,1.36226911e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04436674e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.10000000e+04,2.98000000e+02,1.36084639e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04327603e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
