t(s),cat,react1,react2,int1,int2,int3,prod,water
1.00000000e+05,8.30445915e-07,2.62835600e-01,2.63387067e-01,5.51466546e-04,1.46012408e-05,3.67739153e-01,1.05471282e-01,0.00000000e+00
1.01000000e+05,8.38019288e-07,2.62054733e-01,2.62608990e-01,5.54256963e-04,1.46163320e-05,3.68125375e-01,1.06641191e-01,0.00000000e+00
1.02000000e+05,8.45689822e-07,2.61272214e-01,2.61829285e-01,5.57070930e-04,1.46314511e-05,3.68512387e-01,1.07813566e-01,0.00000000e+00
1.03000000e+05,8.53459139e-07,2.60488039e-01,2.61047948e-01,5.59908734e-04,1.46465981e-05,3.68900191e-01,1.08988414e-01,0.00000000e+00
1.04000000e+05,8.61328893e-07,2.59702202e-01,2.60264973e-01,5.62770665e-04,1.46617731e-05,3.69288789e-01,1.10165742e-01,0.00000000e+00
1.05000000e+05,8.69300777e-07,2.58914699e-01,2.59480356e-01,5.65657020e-04,1.46769762e-05,3.69678184e-01,1.11345558e-01,0.00000000e+00
1.06000000e+05,8.77376516e-07,2.58125523e-01,2.58694091e-01,5.68568097e-04,1.46922072e-05,3.70068378e-01,1.12527870e-01,0.00000000e+00
1.07000000e+05,8.85557871e-07,2.57334670e-01,2.57906174e-01,5.71504203e-04,1.47074664e-05,3.70459373e-01,1.13712686e-01,0.00000000e+00
1.08000000e+05,8.93846640e-07,2.56542134e-01,2.57116599e-01,5.74465648e-04,1.47227536e-05,3.70851171e-01,1.14900014e-01,0.00000000e+00
1.09000000e+05,9.02244661e-07,2.55747910e-01,2.56325362e-01,5.77452746e-04,1.47380690e-05,3.71243775e-01,1.16089860e-01,0.00000000e+00
1.10000000e+05,9.10753809e-07,2.54951992e-01,2.55532458e-01,5.80465818e-04,1.47534124e-05,3.71637186e-01,1.17282234e-01,0.00000000e+00
1.11000000e+05,9.19376000e-07,2.54154376e-01,2.54737881e-01,5.83505190e-04,1.47687841e-05,3.72031407e-01,1.18477144e-01,0.00000000e+00
1.12000000e+05,9.28113189e-07,2.53355055e-01,2.53941626e-01,5.86571192e-04,1.47841839e-05,3.72426439e-01,1.19674596e-01,0.00000000e+00
1.13000000e+05,9.36967374e-07,2.52554025e-01,2.53143689e-01,5.89664162e-04,1.47996118e-05,3.72822286e-01,1.20874599e-01,0.00000000e+00
1.14000000e+05,9.45940597e-07,2.51751279e-01,2.52344064e-01,5.92784441e-04,1.48150680e-05,3.73218950e-01,1.22077162e-01,0.00000000e+00
1.15000000e+05,9.55034943e-07,2.50946814e-01,2.51542746e-01,5.95932376e-04,1.48305524e-05,3.73616432e-01,1.23282291e-01,0.00000000e+00
1.16000000e+05,9.64252543e-07,2.50140622e-01,2.50739730e-01,5.99108323e-04,1.48460650e-05,3.74014734e-01,1.24489996e-01,0.00000000e+00
1.17000000e+05,9.73595573e-07,2.49332698e-01,2.49935011e-01,6.02312640e-04,1.48616059e-05,3.74413860e-01,1.25700283e-01,0.00000000e+00
1.18000000e+05,9.83066257e-07,2.48523037e-01,2.49128583e-01,6.05545693e-04,1.48771750e-05,3.74813811e-01,1.26913162e-01,0.00000000e+00
1.19000000e+05,9.92666870e-07,2.47711634e-01,2.48320442e-01,6.08807855e-04,1.48927723e-05,3.75214589e-01,1.28128641e-01,0.00000000e+00
1.20000000e+05,1.00239973e-06,2.46898483e-01,2.47510582e-01,6.12099503e-04,1.49083980e-05,3.75616197e-01,1.29346727e-01,0.00000000e+00
1.21000000e+05,1.01226723e-06,2.46083577e-01,2.46698998e-01,6.15421022e-04,1.49240518e-05,3.76018637e-01,1.30567430e-01,0.00000000e+00
1.22000000e+05,1.02227177e-06,2.45266913e-01,2.45885685e-01,6.18772804e-04,1.49397340e-05,3.76421911e-01,1.31790756e-01,0.00000000e+00
1.23000000e+05,1.03241585e-06,2.44448483e-01,2.45070638e-01,6.22155246e-04,1.49554444e-05,3.76826022e-01,1.33016715e-01,0.00000000e+00
1.24000000e+05,1.04270201e-06,2.43628282e-01,2.44253851e-01,6.25568756e-04,1.49711831e-05,3.77230971e-01,1.34245314e-01,0.00000000e+00
1.25000000e+05,1.05313283e-06,2.42806305e-01,2.43435318e-01,6.29013743e-04,1.49869501e-05,3.77636760e-01,1.35476563e-01,0.00000000e+00
1.26000000e+05,1.06371098e-06,2.41982545e-01,2.42615036e-01,6.32490628e-04,1.50027453e-05,3.78043393e-01,1.36710469e-01,0.00000000e+00
1.27000000e+05,1.07443916e-06,2.41156998e-01,2.41792998e-01,6.35999838e-04,1.50185687e-05,3.78450871e-01,1.37947040e-01,0.00000000e+00
1.28000000e+05,1.08532016e-06,2.40329657e-01,2.40969199e-01,6.39541806e-04,1.50344204e-05,3.78859196e-01,1.39186287e-01,0.00000000e+00
1.29000000e+05,1.09635681e-06,2.39500516e-01,2.40143633e-01,6.43116976e-04,1.50503004e-05,3.79268372e-01,1.40428215e-01,0.00000000e+00
1.30000000e+05,1.10755202e-06,2.38669570e-01,2.39316296e-01,6.46725796e-04,1.50662085e-05,3.79678399e-01,1.41672835e-01,0.00000000e+00
1.31000000e+05,1.11890875e-06,2.37836813e-01,2.38487182e-01,6.50368726e-04,1.50821449e-05,3.80089280e-01,1.42920155e-01,0.00000000e+00
1.32000000e+05,1.13043006e-06,2.37002239e-01,2.37656285e-01,6.54046230e-04,1.50981094e-05,3.80501017e-01,1.44170184e-01,0.00000000e+00
1.33000000e+05,1.14211905e-06,2.36165842e-01,2.36823601e-01,6.57758784e-04,1.51141021e-05,3.80913614e-01,1.45422929e-01,0.00000000e+00
1.34000000e+05,1.15397890e-06,2.35327616e-01,2.35989123e-01,6.61506871e-04,1.51301230e-05,3.81327071e-01,1.46678400e-01,0.00000000e+00
1.35000000e+05,1.16601289e-06,2.34487555e-01,2.35152846e-01,6.65290983e-04,1.51461719e-05,3.81741391e-01,1.47936605e-01,0.00000000e+00
1.36000000e+05,1.17822434e-06,2.33645654e-01,2.34314765e-01,6.69111622e-04,1.51622490e-05,3.82156576e-01,1.49197553e-01,0.00000000e+00
1.37000000e+05,1.19061667e-06,2.32801906e-01,2.33474875e-01,6.72969296e-04,1.51783540e-05,3.82572629e-01,1.50461252e-01,0.00000000e+00
1.38000000e+05,1.20319338e-06,2.31956305e-01,2.32633169e-01,6.76864527e-04,1.51944872e-05,3.82989552e-01,1.51727712e-01,0.00000000e+00
1.39000000e+05,1.21595805e-06,2.31108845e-01,2.31789643e-01,6.80797842e-04,1.52106482e-05,3.83407346e-01,1.52996942e-01,0.00000000e+00
1.40000000e+05,1.22891435e-06,2.30259520e-01,2.30944290e-01,6.84769782e-04,1.52268373e-05,3.83826015e-01,1.54268949e-01,0.00000000e+00
1.41000000e+05,1.24206605e-06,2.29408325e-01,2.30097106e-01,6.88780895e-04,1.52430542e-05,3.84245560e-01,1.55543743e-01,0.00000000e+00
1.42000000e+05,1.25541697e-06,2.28555252e-01,2.29248084e-01,6.92831742e-04,1.52592990e-05,3.84665984e-01,1.56821334e-01,0.00000000e+00
1.43000000e+05,1.26897107e-06,2.27700296e-01,2.28397219e-01,6.96922891e-04,1.52755716e-05,3.85087288e-01,1.58101728e-01,0.00000000e+00
1.44000000e+05,1.28273239e-06,2.26843451e-01,2.27544506e-01,7.01054925e-04,1.52918719e-05,3.85509476e-01,1.59384937e-01,0.00000000e+00
1.45000000e+05,1.29670507e-06,2.25984710e-01,2.26689939e-01,7.05228435e-04,1.53081999e-05,3.85932549e-01,1.60670968e-01,0.00000000e+00
1.46000000e+05,1.31089334e-06,2.25124068e-01,2.25833512e-01,7.09444024e-04,1.53245556e-05,3.86356509e-01,1.61959832e-01,0.00000000e+00
1.47000000e+05,1.32530156e-06,2.24261517e-01,2.24975220e-01,7.13702307e-04,1.53409388e-05,3.86781359e-01,1.63251535e-01,0.00000000e+00
1.48000000e+05,1.33993417e-06,2.23397053e-01,2.24115056e-01,7.18003911e-04,1.53573495e-05,3.87207101e-01,1.64546089e-01,0.00000000e+00
1.49000000e+05,1.35479576e-06,2.22530667e-01,2.23253017e-01,7.22349475e-04,1.53737876e-05,3.87633736e-01,1.65843502e-01,0.00000000e+00
1.50000000e+05,1.36989099e-06,2.21662355e-01,2.22389094e-01,7.26739650e-04,1.53902531e-05,3.88061268e-01,1.67143783e-01,0.00000000e+00
1.51000000e+05,1.38522467e-06,2.20792109e-01,2.21523284e-01,7.31175100e-04,1.54067458e-05,3.88489698e-01,1.68446941e-01,0.00000000e+00
1.52000000e+05,1.40080173e-06,2.19919924e-01,2.20655580e-01,7.35656503e-04,1.54232657e-05,3.88919029e-01,1.69752986e-01,0.00000000e+00
1.53000000e+05,1.41662721e-06,2.19045793e-01,2.19785977e-01,7.40184548e-04,1.54398127e-05,3.89349262e-01,1.71061927e-01,0.00000000e+00
1.54000000e+05,1.43270630e-06,2.18169709e-01,2.18914469e-01,7.44759941e-04,1.54563867e-05,3.89780400e-01,1.72373773e-01,0.00000000e+00
1.55000000e+05,1.44904431e-06,2.17291666e-01,2.18041050e-01,7.49383399e-04,1.54729877e-05,3.90212445e-01,1.73688534e-01,0.00000000e+00
1.56000000e+05,1.46564670e-06,2.16411658e-01,2.17165714e-01,7.54055655e-04,1.54896153e-05,3.90645399e-01,1.75006218e-01,0.00000000e+00
1.57000000e+05,1.48251904e-06,2.15529678e-01,2.16288455e-01,7.58777458e-04,1.55062697e-05,3.91079265e-01,1.76326836e-01,0.00000000e+00
1.58000000e+05,1.49966710e-06,2.14645719e-01,2.15409269e-01,7.63549568e-04,1.55229507e-05,3.91514043e-01,1.77650396e-01,0.00000000e+00
1.59000000e+05,1.51709677e-06,2.13759776e-01,2.14528149e-01,7.68372765e-04,1.55396580e-05,3.91949738e-01,1.78976908e-01,0.00000000e+00
1.60000000e+05,1.53481408e-06,2.12871841e-01,2.13645089e-01,7.73247842e-04,1.55563918e-05,3.92386349e-01,1.80306382e-01,0.00000000e+00
1.61000000e+05,1.55282526e-06,2.11981907e-01,2.12760083e-01,7.78175610e-04,1.55731516e-05,3.92823880e-01,1.81638828e-01,0.00000000e+00
1.62000000e+05,1.57113668e-06,2.11089969e-01,2.11873126e-01,7.83156895e-04,1.55899376e-05,3.93262333e-01,1.82974253e-01,0.00000000e+00
1.63000000e+05,1.58975490e-06,2.10196019e-01,2.10984212e-01,7.88192543e-04,1.56067494e-05,3.93701710e-01,1.84312670e-01,0.00000000e+00
1.64000000e+05,1.60868663e-06,2.09300051e-01,2.10093335e-01,7.93283414e-04,1.56235871e-05,3.94142013e-01,1.85654086e-01,0.00000000e+00
1.65000000e+05,1.62793879e-06,2.08402058e-01,2.09200488e-01,7.98430389e-04,1.56404503e-05,3.94583243e-01,1.86998512e-01,0.00000000e+00
1.66000000e+05,1.64751848e-06,2.07502033e-01,2.08305667e-01,8.03634366e-04,1.56573389e-05,3.95025403e-01,1.88345957e-01,0.00000000e+00
1.67000000e+05,1.66743299e-06,2.06599970e-01,2.07408866e-01,8.08896262e-04,1.56742528e-05,3.95468495e-01,1.89696431e-01,0.00000000e+00
1.68000000e+05,1.68768982e-06,2.05695861e-01,2.06510078e-01,8.14217015e-04,1.56911918e-05,3.95912521e-01,1.91049944e-01,0.00000000e+00
1.69000000e+05,1.70829667e-06,2.04789700e-01,2.05609297e-01,8.19597580e-04,1.57081556e-05,3.96357483e-01,1.92406506e-01,0.00000000e+00
1.70000000e+05,1.72926147e-06,2.03881480e-01,2.04706519e-01,8.25038937e-04,1.57251442e-05,3.96803383e-01,1.93766126e-01,0.00000000e+00
