t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
2.35000000e-05,9.00000000e+02,9.41040086e+04,1.13347240e-01,1.13347240e-07,1.00000000e-06,3.20683517e+06,-1.15305513e-07,-1.15233303e-07,-4.82585755e-07,-4.82513545e-07,
2.80000000e-05,9.00000000e+02,9.41037234e+04,1.13345084e-01,1.13345084e-07,1.00000000e-06,3.20689032e+06,-1.15305513e-07,-1.15233298e-07,-4.71098249e-07,-4.71026034e-07,
3.25000000e-05,9.00000000e+02,9.41034314e+04,1.13342958e-01,1.13342958e-07,1.00000000e-06,3.20694333e+06,-1.15305513e-07,-1.15233293e-07,-4.60063307e-07,-4.59991087e-07,
3.70000000e-05,9.00000000e+02,9.41031329e+04,1.13340863e-01,1.13340863e-07,1.00000000e-06,3.20699426e+06,-1.15305513e-07,-1.15233293e-07,-4.60063307e-07,-4.59991087e-07,
4.15000000e-05,9.00000000e+02,9.41028281e+04,1.13338797e-01,1.13338797e-07,1.00000000e-06,3.20704315e+06,-1.15305513e-07,-1.15233288e-07,-4.49271028e-07,-4.49198803e-07,
4.60000000e-05,9.00000000e+02,9.41025170e+04,1.13336759e-01,1.13336759e-07,1.00000000e-06,3.20709003e+06,-1.15305513e-07,-1.15233288e-07,-4.49271028e-07,-4.49198803e-07,
5.05000000e-05,9.00000000e+02,9.41021998e+04,1.13334750e-01,1.13334750e-07,1.00000000e-06,3.20713496e+06,-1.15305513e-07,-1.15233282e-07,-4.38907944e-07,-4.38835713e-07,
5.50000000e-05,9.00000000e+02,9.41018767e+04,1.13332769e-01,1.13332769e-07,1.00000000e-06,3.20717798e+06,-1.15305513e-07,-1.15233277e-07,-4.28851467e-07,-4.28779231e-07,
5.95000000e-05,9.00000000e+02,9.41015478e+04,1.13330815e-01,1.13330815e-07,1.00000000e-06,3.20721912e+06,-1.15305513e-07,-1.15233277e-07,-4.28851467e-07,-4.28779231e-07,
6.40000000e-05,9.00000000e+02,9.41012132e+04,1.13328887e-01,1.13328887e-07,1.00000000e-06,3.20725843e+06,-1.15305513e-07,-1.15233271e-07,-4.19140561e-07,-4.19068319e-07,
6.85000000e-05,9.00000000e+02,9.41008731e+04,1.13326985e-01,1.13326985e-07,1.00000000e-06,3.20729594e+06,-1.15305513e-07,-1.15233271e-07,-4.19140561e-07,-4.19068319e-07,
7.30000000e-05,9.00000000e+02,9.41005275e+04,1.13325109e-01,1.13325109e-07,1.00000000e-06,3.20733168e+06,-1.15305513e-07,-1.15233261e-07,-4.02952268e-07,-4.02880016e-07,
7.75000000e-05,9.00000000e+02,9.41001767e+04,1.13323259e-01,1.13323259e-07,1.00000000e-06,3.20736570e+06,-1.15305513e-07,-1.15233261e-07,-4.02952268e-07,-4.02880016e-07,
8.20000000e-05,9.00000000e+02,9.40998206e+04,1.13321432e-01,1.13321432e-07,1.00000000e-06,3.20739803e+06,-1.15305513e-07,-1.15233261e-07,-4.02952268e-07,-4.02880016e-07,
8.65000000e-05,9.00000000e+02,9.40994596e+04,1.13319630e-01,1.13319630e-07,1.00000000e-06,3.20742871e+06,-1.15305513e-07,-1.15233250e-07,-3.87784338e-07,-3.87712076e-07,
9.10000000e-05,9.00000000e+02,9.40990935e+04,1.13317852e-01,1.13317852e-07,1.00000000e-06,3.20745777e+06,-1.15305513e-07,-1.15233250e-07,-3.87784338e-07,-3.87712076e-07,
9.55000000e-05,9.00000000e+02,9.40987227e+04,1.13316097e-01,1.13316097e-07,1.00000000e-06,3.20748523e+06,-1.15305513e-07,-1.15233239e-07,-3.73130335e-07,-3.73058062e-07,
1.00000000e-04,9.00000000e+02,9.40983471e+04,1.13314364e-01,1.13314364e-07,1.00000000e-06,3.20751114e+06,-1.15305513e-07,-1.15233239e-07,-3.73130335e-07,-3.73058062e-07,
1.45000000e-04,9.00000000e+02,9.40943538e+04,1.13298206e-01,1.13298206e-07,1.00000000e-06,3.20769108e+06,-1.15305513e-07,-1.15233187e-07,-3.18326000e-07,-3.18253674e-07,
1.90000000e-04,9.00000000e+02,9.40899892e+04,1.13283919e-01,1.13283919e-07,1.00000000e-06,3.20774518e+06,-1.15305513e-07,-1.15233143e-07,-2.84273464e-07,-2.84201094e-07,
2.35000000e-04,9.00000000e+02,9.40853256e+04,1.13271205e-01,1.13271205e-07,1.00000000e-06,3.20769508e+06,-1.15305513e-07,-1.15233096e-07,-2.55410632e-07,-2.55338216e-07,
2.80000000e-04,9.00000000e+02,9.40804204e+04,1.13259822e-01,1.13259822e-07,1.00000000e-06,3.20755817e+06,-1.15305513e-07,-1.15233018e-07,-2.17574275e-07,-2.17501781e-07,
3.25000000e-04,9.00000000e+02,9.40753200e+04,1.13249575e-01,1.13249575e-07,1.00000000e-06,3.20734856e+06,-1.15305513e-07,-1.15232962e-07,-1.96638211e-07,-1.96565660e-07,
3.70000000e-04,9.00000000e+02,9.40700617e+04,1.13240299e-01,1.13240299e-07,1.00000000e-06,3.20707781e+06,-1.15305513e-07,-1.15232962e-07,-1.96638211e-07,-1.96565660e-07,
4.15000000e-04,9.00000000e+02,9.40646755e+04,1.13231863e-01,1.13231863e-07,1.00000000e-06,3.20675533e+06,-1.15305513e-07,-1.15232905e-07,-1.75952871e-07,-1.75880263e-07,
4.60000000e-04,9.00000000e+02,9.40591862e+04,1.13224155e-01,1.13224155e-07,1.00000000e-06,3.20638887e+06,-1.15305513e-07,-1.15232847e-07,-1.66348169e-07,-1.66275503e-07,
5.05000000e-04,9.00000000e+02,9.40536146e+04,1.13217080e-01,1.13217080e-07,1.00000000e-06,3.20598512e+06,-1.15305513e-07,-1.15232787e-07,-1.38963859e-07,-1.38891134e-07,
5.50000000e-04,9.00000000e+02,9.40479785e+04,1.13210557e-01,1.13210557e-07,1.00000000e-06,3.20554975e+06,-1.15305513e-07,-1.15232727e-07,-1.45233933e-07,-1.45161147e-07,
5.95000000e-04,9.00000000e+02,9.40422927e+04,1.13204516e-01,1.13204516e-07,1.00000000e-06,3.20508752e+06,-1.15305513e-07,-1.15232667e-07,-1.24269204e-07,-1.24196359e-07,
6.40000000e-04,9.00000000e+02,9.40365691e+04,1.13198900e-01,1.13198900e-07,1.00000000e-06,3.20460239e+06,-1.15305513e-07,-1.15232606e-07,-1.16185512e-07,-1.16112605e-07,
6.85000000e-04,9.00000000e+02,9.40308177e+04,1.13193659e-01,1.13193659e-07,1.00000000e-06,3.20409775e+06,-1.15305513e-07,-1.15232545e-07,-1.09591230e-07,-1.09518262e-07,
7.30000000e-04,9.00000000e+02,9.40250473e+04,1.13188750e-01,1.13188750e-07,1.00000000e-06,3.20357654e+06,-1.15305513e-07,-1.15232441e-07,-9.82333966e-08,-9.81603249e-08,
7.75000000e-04,9.00000000e+02,9.40192654e+04,1.13184135e-01,1.13184135e-07,1.00000000e-06,3.20304127e+06,-1.15305513e-07,-1.15232441e-07,-9.82333966e-08,-9.81603249e-08,
8.20000000e-04,9.00000000e+02,9.40134782e+04,1.13179781e-01,1.13179781e-07,1.00000000e-06,3.20249414e+06,-1.15305513e-07,-1.15232337e-07,-8.91257665e-08,-8.90525910e-08,
8.65000000e-04,9.00000000e+02,9.40076915e+04,1.13175659e-01,1.13175659e-07,1.00000000e-06,3.20193712e+06,-1.15305513e-07,-1.15232337e-07,-8.91257665e-08,-8.90525910e-08,
9.10000000e-04,9.00000000e+02,9.40019099e+04,1.13171745e-01,1.13171745e-07,1.00000000e-06,3.20137181e+06,-1.15305513e-07,-1.15232234e-07,-8.36891745e-08,-8.36158956e-08,
