t(s),N2,NH3,H2
2.80000000e-02,2.61248274e-01,1.57587485e-02,7.22992978e-01
3.25000000e-02,2.60364883e-01,1.66373310e-02,7.22997786e-01
3.70000000e-02,2.59509262e-01,1.73604713e-02,7.23130267e-01
4.15000000e-02,2.58674913e-01,1.79647399e-02,7.23360347e-01
4.60000000e-02,2.57858138e-01,1.84775881e-02,7.23664274e-01
5.05000000e-02,2.57056351e-01,1.89190871e-02,7.24024562e-01
5.50000000e-02,2.56261352e-01,1.92990902e-02,7.24439557e-01
5.95000000e-02,2.55489230e-01,1.96357863e-02,7.24874984e-01
6.40000000e-02,2.54729929e-01,1.99351133e-02,7.25334958e-01
6.85000000e-02,2.53984055e-01,2.02017678e-02,7.25814177e-01
7.30000000e-02,2.53247396e-01,2.04472784e-02,7.26305326e-01
7.75000000e-02,2.52531153e-01,2.06729839e-02,7.26795864e-01
8.20000000e-02,2.51818163e-01,2.08835350e-02,7.27298302e-01
8.65000000e-02,2.51118916e-01,2.10793540e-02,7.27801730e-01
9.10000000e-02,2.50427524e-01,2.12653919e-02,7.28307084e-01
9.55000000e-02,2.49745743e-01,2.14422431e-02,7.28812013e-01
1.00000000e-01,2.49074774e-01,2.16099381e-02,7.29315288e-01
1.45000000e-01,2.42822752e-01,2.30886448e-02,7.34088603e-01
1.90000000e-01,2.37368519e-01,2.44041632e-02,7.38227318e-01
2.35000000e-01,2.32686648e-01,2.56285165e-02,7.41684835e-01
2.80000000e-01,2.28631174e-01,2.68034707e-02,7.44565355e-01
3.25000000e-01,2.25154356e-01,2.79197059e-02,7.46925938e-01
3.70000000e-01,2.22182896e-01,2.89830876e-02,7.48834017e-01
4.15000000e-01,2.19562049e-01,3.00064529e-02,7.50431498e-01
4.60000000e-01,2.17408490e-01,3.09580232e-02,7.51633487e-01
5.05000000e-01,2.15573839e-01,3.18692763e-02,7.52556884e-01
5.50000000e-01,2.14049948e-01,3.27243108e-02,7.53225742e-01
5.95000000e-01,2.12804192e-01,3.35262531e-02,7.53669554e-01
6.40000000e-01,2.11799520e-01,3.42784799e-02,7.53922000e-01
6.85000000e-01,2.11012022e-01,3.49818787e-02,7.54006099e-01
7.30000000e-01,2.10417326e-01,3.56383884e-02,7.53944285e-01
7.75000000e-01,2.09993581e-01,3.62500886e-02,7.53756330e-01
8.20000000e-01,2.09721169e-01,3.68190985e-02,7.53459732e-01
8.65000000e-01,2.09580915e-01,3.73483954e-02,7.53070690e-01
9.10000000e-01,2.09557918e-01,3.78424641e-02,7.52599618e-01
9.55000000e-01,2.09644623e-01,3.82912748e-02,7.52064102e-01
1.00000000e+00,2.09821564e-01,3.87078533e-02,7.51470582e-01
1.45000000e+00,2.14518316e-01,4.14076194e-02,7.44074064e-01
1.90000000e+00,2.20705255e-01,4.24884045e-02,7.36806340e-01
2.35000000e+00,2.26108407e-01,4.28813255e-02,7.31010268e-01
2.80000000e+00,2.30103817e-01,4.30137360e-02,7.26882447e-01
3.25000000e+00,2.32931657e-01,4.30628234e-02,7.24005520e-01
3.70000000e+00,2.34851707e-01,4.30967073e-02,7.22051586e-01
4.00000000e+00,2.35754562e-01,4.31248924e-02,7.21120545e-01
