t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.90000000e-06,1.42688252e-05,2.23859976e-08,6.13996397e-01,4.16910936e-13,3.01505807e-14,2.80610283e-10,3.85989312e-01,2.98476012e-06,1.50579430e-03,6.13123051e-01,9.84638100e-11,4.55335384e-06,8.74358645e-06,3.85354873e-01
2.35000000e-06,1.42687858e-05,2.76362408e-08,6.13996462e-01,6.50345001e-13,3.97091242e-14,3.68926007e-10,3.85989241e-01,2.98392176e-06,1.77897922e-03,6.12954413e-01,1.23460880e-10,5.56007734e-06,1.04402516e-05,3.85247623e-01
2.80000000e-06,1.42687463e-05,3.28858066e-08,6.13996527e-01,9.29843112e-13,4.93940000e-14,4.58142445e-10,3.85989171e-01,2.98308902e-06,2.05176912e-03,6.12785460e-01,1.49329183e-10,6.55769053e-06,1.21315889e-05,3.85141098e-01
3.25000000e-06,1.42687069e-05,3.81352240e-08,6.13996592e-01,1.25511140e-12,5.91532433e-14,5.47773739e-10,3.85989100e-01,2.98226401e-06,2.32415860e-03,6.12615918e-01,1.76162133e-10,7.55136740e-06,1.38194103e-05,3.85035570e-01
3.70000000e-06,1.42686675e-05,4.33847369e-08,6.13996657e-01,1.62598424e-12,6.89653366e-14,6.37618984e-10,3.85989030e-01,2.98144051e-06,2.59614661e-03,6.12446589e-01,2.03989886e-10,8.54286668e-06,1.55045523e-05,3.84930235e-01
4.15000000e-06,1.42686282e-05,4.86344837e-08,6.13996721e-01,2.04233016e-12,7.88200376e-14,7.27582866e-10,3.85988961e-01,2.98061460e-06,2.86773334e-03,6.12277977e-01,2.32824038e-10,9.53301959e-06,1.71872539e-05,3.84824588e-01
4.60000000e-06,1.42685889e-05,5.38845516e-08,6.13996785e-01,2.50404189e-12,8.87125323e-14,8.17620877e-10,3.85988891e-01,2.97978886e-06,3.13891928e-03,6.12109749e-01,2.62664831e-10,1.05219670e-05,1.88676004e-05,3.84718962e-01
5.05000000e-06,1.42685496e-05,5.91349974e-08,6.13996849e-01,3.01101470e-12,9.86412393e-14,9.07718817e-10,3.85988823e-01,2.97896491e-06,3.40970557e-03,6.11941693e-01,2.93504500e-10,1.15095121e-05,2.05453981e-05,3.84613567e-01
5.50000000e-06,1.42685103e-05,6.43858659e-08,6.13996912e-01,3.56314247e-12,1.08605870e-13,9.97874637e-10,3.85988754e-01,2.97814270e-06,3.68009306e-03,6.11773817e-01,3.25339145e-10,1.24955953e-05,2.22206971e-05,3.84508395e-01
5.95000000e-06,1.42684711e-05,6.96371976e-08,6.13996974e-01,4.16031910e-12,1.18606538e-13,1.08809007e-09,3.85988687e-01,2.97732181e-06,3.95008255e-03,6.11606174e-01,3.58166440e-10,1.34802688e-05,2.38935414e-05,3.84403391e-01
6.40000000e-06,1.42684320e-05,7.48890358e-08,6.13997037e-01,4.80243889e-12,1.28643088e-13,1.17836430e-09,3.85988619e-01,2.97650230e-06,4.21967487e-03,6.11438755e-01,3.91982724e-10,1.44635046e-05,2.55639500e-05,3.84298565e-01
6.85000000e-06,1.42683928e-05,8.01414223e-08,6.13997098e-01,5.48939688e-12,1.38715503e-13,1.26869783e-09,3.85988552e-01,2.97568398e-06,4.48887083e-03,6.11271583e-01,4.26785715e-10,1.54453555e-05,2.72319245e-05,3.84193893e-01
7.30000000e-06,1.42683537e-05,8.53943997e-08,6.13997160e-01,6.22108778e-12,1.48823677e-13,1.35909030e-09,3.85988485e-01,2.97486683e-06,4.75767126e-03,6.11104661e-01,4.62572416e-10,1.64258326e-05,2.88974728e-05,3.84089369e-01
7.75000000e-06,1.42683147e-05,9.06481206e-08,6.13997221e-01,6.99712911e-12,1.58967570e-13,1.44954372e-09,3.85988419e-01,2.97405084e-06,5.02607921e-03,6.10937985e-01,4.99332394e-10,1.74049470e-05,3.05606016e-05,3.83984995e-01
8.20000000e-06,1.42682756e-05,9.59025493e-08,6.13997282e-01,7.81761074e-12,1.69147185e-13,1.54005755e-09,3.85988353e-01,2.97323603e-06,5.29409397e-03,6.10771556e-01,5.37068058e-10,1.83826935e-05,3.22213096e-05,3.83880772e-01
8.65000000e-06,1.42682366e-05,1.01157660e-07,6.13997342e-01,8.68259641e-12,1.79362509e-13,1.63063127e-09,3.85988287e-01,2.97242241e-06,5.56171504e-03,6.10605372e-01,5.75781086e-10,1.93590686e-05,3.38795965e-05,3.83776701e-01
9.10000000e-06,1.42681977e-05,1.06413480e-07,6.13997402e-01,9.59202138e-12,1.89613537e-13,1.72126525e-09,3.85988222e-01,2.97160997e-06,5.82894292e-03,6.10439434e-01,6.15469479e-10,2.03340731e-05,3.55354646e-05,3.83672781e-01
9.55000000e-06,1.42681587e-05,1.11670259e-07,6.13997461e-01,1.05452522e-11,1.99900231e-13,1.81196305e-09,3.85988157e-01,2.97079872e-06,6.09578268e-03,6.10273734e-01,6.56113690e-10,2.13077148e-05,3.71889353e-05,3.83569015e-01
1.00000000e-05,1.42681198e-05,1.16927845e-07,6.13997520e-01,1.15426759e-11,2.10222615e-13,1.90272249e-09,3.85988093e-01,2.96998865e-06,6.36223123e-03,6.10108278e-01,6.97725661e-10,2.22799889e-05,3.88399955e-05,3.83465400e-01
1.45000000e-05,1.42677327e-05,1.69558776e-07,6.13998091e-01,2.39206586e-11,3.15407674e-13,2.81385745e-09,3.85987469e-01,2.96195271e-06,9.00541408e-03,6.08466925e-01,1.16626403e-09,3.19282160e-05,5.52193642e-05,3.82437550e-01
1.90000000e-05,1.42673489e-05,2.22316975e-07,6.13998623e-01,4.06012746e-11,4.24155137e-13,3.73181729e-09,3.85986884e-01,2.95403276e-06,1.16104057e-02,6.06849260e-01,1.72808626e-09,4.14428355e-05,7.13634707e-05,3.81424572e-01
2.35000000e-05,1.42669684e-05,2.75242011e-07,6.13999118e-01,6.14860687e-11,5.36460645e-13,4.65717068e-09,3.85986335e-01,2.94622638e-06,1.41779922e-02,6.05254795e-01,2.38030266e-09,5.08265467e-05,8.72771434e-05,3.80426160e-01
2.80000000e-05,1.42665911e-05,3.28372333e-07,6.13999577e-01,8.64801699e-11,6.52320568e-13,5.59047089e-09,3.85985822e-01,2.93853128e-06,1.67089327e-02,6.03683062e-01,3.12016028e-09,6.00819489e-05,1.02965043e-04,3.79442017e-01
3.25000000e-05,1.42662169e-05,3.81746694e-07,6.14000001e-01,1.15487902e-10,7.71731215e-13,6.53227568e-09,3.85985344e-01,2.93094513e-06,1.92039925e-02,6.02133584e-01,3.94488999e-09,6.92116630e-05,1.18431868e-04,3.78471845e-01
3.70000000e-05,1.42658458e-05,4.35401430e-07,6.14000390e-01,1.48420503e-10,8.94689845e-13,7.48310884e-09,3.85984901e-01,2.92346576e-06,2.16638839e-02,6.00605921e-01,4.85197797e-09,7.82181341e-05,1.33681993e-04,3.77515366e-01
4.15000000e-05,1.42654777e-05,4.89373368e-07,6.14000746e-01,1.85187891e-10,1.02119360e-12,8.44350130e-09,3.85984491e-01,2.91609097e-06,2.40893292e-02,5.99099625e-01,5.83885355e-09,8.71038395e-05,1.48719855e-04,3.76572300e-01
