t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
5.50000000e-06,-2.24241779e-12,2.99478728e-10,3.58509453e-09,3.27772201e-14,5.69299149e-16,5.14318146e-12,-3.88750736e-09,-9.21958990e-13,3.14475269e-07,-1.95356597e-07,3.81078514e-14,1.14681286e-09,1.94845243e-09,-1.22213054e-07
5.95000000e-06,-2.24188948e-12,2.99506293e-10,3.56355880e-09,3.53531870e-14,5.71348919e-16,5.14665103e-12,-3.86600578e-09,-7.85041574e-13,3.14012342e-07,-1.95106080e-07,4.01665538e-14,1.14512092e-09,1.94579669e-09,-1.21996435e-07
6.40000000e-06,-2.23933552e-12,2.99536315e-10,3.54017562e-09,3.79205698e-14,5.73403484e-16,5.15007888e-12,-3.84266117e-09,-8.13164833e-13,3.13550493e-07,-1.94774836e-07,4.05279362e-14,1.14354212e-09,1.94298772e-09,-1.21861415e-07
6.85000000e-06,-2.23722617e-12,2.99568781e-10,3.51690006e-09,4.04558958e-14,5.75450550e-16,5.15347025e-12,-3.81942612e-09,-8.45865447e-13,3.13089650e-07,-1.94447344e-07,4.10587909e-14,1.14197401e-09,1.94014126e-09,-1.21723616e-07
7.30000000e-06,-2.23245282e-12,2.99603640e-10,3.49406069e-09,4.30049162e-14,5.77494711e-16,5.15687171e-12,-3.79663233e-09,-8.80660876e-13,3.12629813e-07,-1.94139500e-07,4.19855090e-14,1.14040394e-09,1.93725637e-09,-1.21567135e-07
7.75000000e-06,-2.21530099e-12,2.99640862e-10,3.47151199e-09,5.26380825e-14,5.79540749e-16,5.16029297e-12,-3.77415106e-09,-8.79273515e-13,3.12170923e-07,-1.93842351e-07,6.00998604e-14,1.13881627e-09,1.93440686e-09,-1.21400976e-07
8.20000000e-06,-2.18751930e-12,2.99680450e-10,3.44926042e-09,6.15935197e-14,5.81584327e-16,5.16373485e-12,-3.75197926e-09,-8.73498818e-13,3.11712995e-07,-1.93553218e-07,7.67094693e-14,1.13721982e-09,1.93156985e-09,-1.21227770e-07
8.65000000e-06,-2.15229964e-12,2.99722401e-10,3.42733196e-09,6.31663309e-14,5.83622498e-16,5.16720477e-12,-3.73013301e-09,-8.92679551e-13,3.11256045e-07,-1.93270744e-07,7.56492299e-14,1.13562171e-09,1.92872415e-09,-1.21048830e-07
9.10000000e-06,-2.11494332e-12,2.99766710e-10,3.40568729e-09,5.58522365e-14,5.85654004e-16,5.17070299e-12,-3.70856620e-09,-9.37643526e-13,3.10800066e-07,-1.92993804e-07,5.32880271e-14,1.13402271e-09,1.92587404e-09,-1.20865275e-07
9.55000000e-06,-2.12138580e-12,2.99813342e-10,3.38337042e-09,6.80813964e-14,5.87697037e-16,5.17423223e-12,-3.68630528e-09,-9.19316243e-13,3.10345008e-07,-1.92711441e-07,7.78021961e-14,1.13243004e-09,1.92305990e-09,-1.20688215e-07
1.00000000e-05,-2.14423235e-12,2.99862318e-10,3.36107174e-09,7.46962990e-14,5.89734973e-16,5.17779080e-12,-3.66404290e-09,-9.09940394e-13,3.09890900e-07,-1.92430347e-07,8.88066183e-14,1.13083929e-09,1.92025706e-09,-1.20510828e-07
1.45000000e-05,-2.03541246e-12,3.00479424e-10,3.14383649e-09,1.10313620e-13,6.10072947e-16,5.21514778e-12,-3.44760657e-09,-8.67741879e-13,3.05401609e-07,-1.89648854e-07,1.26371230e-13,1.11512681e-09,1.89260580e-09,-1.18759746e-07
1.90000000e-05,-1.70404328e-12,3.01324366e-10,2.93343231e-09,1.19691396e-13,6.30370020e-16,5.25578262e-12,-3.23842874e-09,-8.96054332e-13,3.01004859e-07,-1.86921594e-07,1.01552313e-13,1.09974381e-09,1.86552090e-09,-1.17047735e-07
2.35000000e-05,-2.14932451e-12,3.02391932e-10,2.72136042e-09,1.31138140e-13,6.50635068e-16,5.29961857e-12,-3.02703444e-09,-9.01594899e-13,2.96698177e-07,-1.84250334e-07,8.16500495e-14,1.08466728e-09,1.83898830e-09,-1.15370678e-07
2.80000000e-05,-2.71325372e-12,3.03677093e-10,2.51356152e-09,7.01426279e-14,6.70855166e-16,5.34658611e-12,-2.81994276e-09,-9.95909726e-13,2.92479178e-07,-1.81633456e-07,-9.76277751e-14,1.06989073e-09,1.81299328e-09,-1.13727512e-07
3.25000000e-05,-2.26814862e-12,3.05174780e-10,2.31680881e-09,1.29781139e-13,6.91115907e-16,5.39661348e-12,-2.62524253e-09,-9.38353617e-13,2.88345498e-07,-1.79069321e-07,-4.66842041e-15,1.05540829e-09,1.78752433e-09,-1.12118166e-07
3.70000000e-05,-2.84907485e-12,3.06880288e-10,2.11751027e-09,6.69480270e-14,7.11284588e-16,5.44963760e-12,-2.42705878e-09,-1.05317232e-12,2.84294928e-07,-1.76556761e-07,-1.93306097e-13,1.04121065e-09,1.76256537e-09,-1.10540697e-07
4.15000000e-05,-3.29104667e-12,3.08788843e-10,1.92272778e-09,7.33090279e-14,7.31461442e-16,5.50559179e-12,-2.23380521e-09,-1.08567133e-12,2.80325268e-07,-1.74094336e-07,-2.28986286e-13,1.02729112e-09,1.73810379e-09,-1.08995012e-07
