t(s),N2,NH3,H2
2.35000000e-03,-9.11135609e-09,1.49196417e-08,-2.09939660e-08
2.80000000e-03,-8.65989352e-09,1.41602742e-08,-2.00369957e-08
3.25000000e-03,-8.27862907e-09,1.35318570e-08,-1.89343631e-08
3.70000000e-03,-7.92375546e-09,1.28884076e-08,-1.81082117e-08
4.15000000e-03,-7.64318921e-09,1.23799513e-08,-1.75000850e-08
4.60000000e-03,-7.26116312e-09,1.16825103e-08,-1.62580935e-08
5.05000000e-03,-7.00544239e-09,1.11936929e-08,-1.55732239e-08
5.50000000e-03,-6.75067279e-09,1.07074873e-08,-1.45970845e-08
5.95000000e-03,-6.44672223e-09,1.00952313e-08,-1.42797003e-08
6.40000000e-03,-6.16013319e-09,9.52504585e-09,-1.33990661e-08
6.85000000e-03,-6.27540155e-09,9.75937921e-09,-1.29810466e-08
7.30000000e-03,-5.86702383e-09,8.93027950e-09,-1.28292032e-08
7.75000000e-03,-5.58518812e-09,8.35375525e-09,-1.20155335e-08
8.20000000e-03,-5.66976871e-09,8.51350816e-09,-1.17875911e-08
8.65000000e-03,-5.49641991e-09,8.14566317e-09,-1.10375509e-08
9.10000000e-03,-5.39447330e-09,7.92835850e-09,-1.08410886e-08
9.55000000e-03,-5.23625345e-09,7.58703724e-09,-1.03665643e-08
1.00000000e-02,-5.11381458e-09,7.34172800e-09,-9.66594729e-09
1.45000000e-02,-4.34623631e-09,5.56837649e-09,-6.87492020e-09
1.90000000e-02,-3.95322733e-09,4.74179759e-09,-4.94470653e-09
2.35000000e-02,-3.03977639e-09,2.91467380e-09,-5.11113875e-09
2.80000000e-02,-3.20464439e-09,2.74548954e-09,-2.98228111e-09
3.25000000e-02,-9.20356760e-10,-7.27947540e-10,-9.53152074e-09
3.70000000e-02,-3.23851017e-10,-2.67179174e-09,-5.68957110e-09
4.15000000e-02,-2.88391437e-09,2.09488417e-09,-1.69072138e-09
4.60000000e-02,-2.74249942e-09,1.76060714e-09,-1.93190656e-09
5.05000000e-02,-3.74100650e-09,3.62807376e-09,-3.25130456e-10
5.50000000e-02,-3.43199791e-08,1.63692497e-08,3.11249720e-07
5.95000000e-02,-2.75868877e-09,7.33299777e-10,5.73999434e-09
6.40000000e-02,4.85101164e-10,-5.40181647e-09,7.43548288e-09
6.85000000e-02,-2.69180198e-09,1.84237727e-09,-2.08296227e-09
7.30000000e-02,-4.10942806e-09,2.63828380e-09,1.04954241e-08
7.75000000e-02,-9.53373540e-09,-4.95789461e-09,1.28183629e-07
8.20000000e-02,-1.53165260e-09,8.05842198e-10,-9.58845228e-09
8.65000000e-02,-2.00307338e-10,-2.51922858e-09,2.50890552e-09
9.10000000e-02,-9.44647862e-10,-1.23358901e-09,3.88238576e-09
9.55000000e-02,-9.92062827e-10,5.48970661e-10,-5.86611399e-09
1.00000000e-01,-3.71298182e-09,-2.55301679e-09,4.79402310e-08
1.45000000e-01,-6.17606516e-09,4.73116076e-09,2.76337075e-08
1.90000000e-01,-8.60482154e-09,2.80040703e-09,5.59627673e-09
2.35000000e-01,2.39868892e-10,-9.61457720e-10,-1.23881879e-08
2.80000000e-01,-2.02002716e-09,1.02814817e-09,2.45778976e-09
3.25000000e-01,6.80129882e-09,-4.10997596e-09,-2.25316507e-08
3.70000000e-01,1.19100070e-09,-3.56252108e-09,-5.72974388e-09
4.15000000e-01,-1.25488986e-09,6.37607446e-10,-3.86130872e-10
4.60000000e-01,-6.20251211e-10,3.44402709e-10,-9.34490683e-10
5.05000000e-01,4.41243693e-08,-1.50998372e-08,-1.83748379e-08
5.50000000e-01,-1.00909094e-09,6.25336496e-10,-5.18168593e-10
5.95000000e-01,-9.72366216e-10,6.24526229e-10,-5.25584053e-10
6.40000000e-01,-5.58775756e-08,1.68661237e-08,3.14658686e-08
6.85000000e-01,-4.66826272e-08,1.35599379e-08,1.61853451e-08
7.30000000e-01,-3.62854762e-08,1.19397207e-08,1.15383077e-08
7.75000000e-01,-2.84137297e-08,1.00412638e-08,6.64759545e-09
8.20000000e-01,-7.42784620e-10,6.04860760e-10,-6.33349350e-10
8.65000000e-01,-1.74410677e-09,2.03066343e-09,1.15330997e-09
9.10000000e-01,-7.62060638e-10,7.43194988e-10,-6.68829939e-10
9.55000000e-01,4.66721613e-09,-9.13173741e-09,-3.64097147e-09
1.00000000e+00,-8.10177582e-10,8.74483209e-10,-6.77409274e-10
1.45000000e+00,5.17989925e-10,5.46397721e-10,1.46056225e-09
1.90000000e+00,-3.95487210e-10,5.64097238e-10,-7.74683044e-10
2.35000000e+00,-3.55485608e-10,5.59737878e-10,-7.92510712e-10
2.80000000e+00,-2.89072084e-10,6.90152583e-10,-1.45843403e-10
3.25000000e+00,-9.19541932e-10,2.36767137e-09,6.63280628e-09
3.70000000e+00,-1.50306363e-10,4.13401020e-10,-1.12378052e-09
4.00000000e+00,1.65860831e-10,-2.11506790e-11,-1.55090714e-09
