t(s),N2,NH3,H2
5.05000000e-03,-2.32177392e-10,4.40189132e-10,-6.39119090e-10
5.50000000e-03,-2.31747320e-10,4.37295235e-10,-6.28459962e-10
5.95000000e-03,-2.31051764e-10,4.27847248e-10,-6.45512332e-10
6.40000000e-03,-2.31051764e-10,4.27847248e-10,-6.45512332e-10
6.85000000e-03,-2.31051764e-10,4.27847248e-10,-6.45512332e-10
7.30000000e-03,-2.29702941e-10,4.19046243e-10,-5.74737464e-10
7.75000000e-03,-2.29702941e-10,4.19046243e-10,-5.74737464e-10
8.20000000e-03,-2.29702941e-10,4.19046243e-10,-5.74737464e-10
8.65000000e-03,-2.28889507e-10,4.14166048e-10,-5.71739120e-10
9.10000000e-03,-2.28889507e-10,4.14166048e-10,-5.71739120e-10
9.55000000e-03,-2.28889507e-10,4.14166048e-10,-5.71739120e-10
1.00000000e-02,-2.28050532e-10,3.97510069e-10,-6.66814872e-10
1.45000000e-02,-2.32023327e-10,3.58430552e-10,-1.71225515e-09
1.90000000e-02,-2.24450716e-10,3.80309404e-10,-6.97272844e-10
2.35000000e-02,-2.17113791e-10,3.35766092e-10,1.35741141e-10
2.80000000e-02,-2.19368924e-10,2.69396247e-10,-1.39262002e-10
3.25000000e-02,-2.13406764e-10,3.88441946e-10,-2.39040877e-10
3.70000000e-02,-1.99096087e-10,5.37709892e-10,1.11009433e-09
4.15000000e-02,-2.11874409e-10,3.25546196e-10,-4.38613817e-10
4.60000000e-02,-2.10257118e-10,2.50363255e-10,-1.75716357e-10
5.05000000e-02,-2.06933692e-10,3.23356542e-10,-5.26305102e-10
5.50000000e-02,-2.06933692e-10,3.23356542e-10,-5.26305102e-10
5.95000000e-02,-2.12469069e-10,-3.19936908e-10,1.79831637e-09
6.40000000e-02,-2.02115160e-10,2.87779036e-10,-3.52455984e-10
6.85000000e-02,-2.03237872e-10,-6.93860474e-10,2.20457694e-09
7.30000000e-02,-2.00558846e-10,1.45854062e-09,-2.12327867e-09
7.75000000e-02,-2.00558846e-10,1.45854062e-09,-2.12327867e-09
8.20000000e-02,-1.98919677e-10,4.63560143e-10,8.44103955e-12
8.65000000e-02,-1.95797473e-10,3.87665092e-10,-2.34711322e-10
9.10000000e-02,-1.86166178e-10,1.67157991e-10,-8.64636776e-10
9.55000000e-02,-1.86166178e-10,1.67157991e-10,-8.64636776e-10
1.00000000e-01,-1.95545953e-10,4.26145857e-11,1.83965072e-10
1.45000000e-01,-1.82177745e-10,2.11907428e-10,-2.16528254e-10
1.90000000e-01,-1.76214624e-10,1.99537520e-10,-1.98206350e-10
2.35000000e-01,-1.82215106e-10,5.16700127e-09,1.08462139e-08
2.80000000e-01,-1.64516007e-10,-2.47806897e-10,-1.07996674e-09
3.25000000e-01,-1.56465563e-10,-9.48592020e-10,-3.24820496e-09
3.70000000e-01,-1.50590718e-10,5.18169338e-10,-3.71218387e-10
4.15000000e-01,-1.52030168e-10,1.89937939e-10,-2.06853390e-10
4.60000000e-01,-1.47765031e-10,3.53186448e-10,1.07830179e-10
5.05000000e-01,-1.44328953e-10,1.91673739e-10,-2.23513222e-10
5.50000000e-01,-1.41389698e-10,1.92319847e-10,-2.29704660e-10
5.95000000e-01,-1.38228752e-10,1.92991120e-10,-2.26864473e-10
6.40000000e-01,-1.76059322e-10,-2.41287523e-09,6.83772339e-09
6.85000000e-01,-1.58593445e-10,-1.34922953e-09,4.45305436e-09
7.30000000e-01,-1.39734827e-10,-3.12894835e-10,1.44758013e-09
7.75000000e-01,-7.78549118e-11,4.62420770e-09,-4.92605789e-08
8.20000000e-01,9.38548344e-11,7.14271045e-09,-1.32524478e-07
8.65000000e-01,3.47429353e-10,1.40080057e-08,-2.76177891e-07
9.10000000e-01,3.47429353e-10,1.40080057e-08,-2.76177891e-07
9.55000000e-01,3.77178178e-10,1.55508710e-08,-2.95060480e-07
1.00000000e+00,-6.38536783e-11,3.12003358e-09,-4.05518547e-08
1.45000000e+00,-1.62537116e-10,-2.58345466e-09,1.22468621e-08
1.90000000e+00,-8.62017991e-11,1.44135570e-09,-4.29735521e-09
2.35000000e+00,-1.25068825e-10,-5.77155647e-10,6.56398434e-09
2.80000000e+00,-9.51819486e-11,1.90302417e-09,-1.55084589e-08
3.25000000e+00,-9.79042960e-11,1.87714116e-10,-5.94502240e-10
3.70000000e+00,-9.07023727e-11,3.60428099e-10,-9.29001360e-10
4.00000000e+00,-8.64117797e-11,4.81657640e-10,-2.27083068e-09
