t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
2.35000000e-06,9.00000000e+02,9.75019274e+04,1.14273481e-01,1.14273481e-07,1.00000000e-06,3.31153127e+06,-1.15305513e-07,-1.15267282e-07,-5.75259577e-09,-5.71436505e-09,
2.80000000e-06,9.00000000e+02,9.75019289e+04,1.14273478e-01,1.14273478e-07,1.00000000e-06,3.31153141e+06,-1.15305513e-07,-1.15267282e-07,-5.72451651e-09,-5.68628580e-09,
3.25000000e-06,9.00000000e+02,9.75019303e+04,1.14273476e-01,1.14273476e-07,1.00000000e-06,3.31153154e+06,-1.15305513e-07,-1.15267282e-07,-5.70434818e-09,-5.66611748e-09,
3.70000000e-06,9.00000000e+02,9.75019318e+04,1.14273473e-01,1.14273473e-07,1.00000000e-06,3.31153168e+06,-1.15305513e-07,-1.15267282e-07,-5.66885163e-09,-5.63062095e-09,
4.15000000e-06,9.00000000e+02,9.75019332e+04,1.14273470e-01,1.14273470e-07,1.00000000e-06,3.31153181e+06,-1.15305513e-07,-1.15267282e-07,-5.63935182e-09,-5.60112117e-09,
4.60000000e-06,9.00000000e+02,9.75019347e+04,1.14273468e-01,1.14273468e-07,1.00000000e-06,3.31153195e+06,-1.15305513e-07,-1.15267282e-07,-5.61435687e-09,-5.57612623e-09,
5.05000000e-06,9.00000000e+02,9.75019361e+04,1.14273465e-01,1.14273465e-07,1.00000000e-06,3.31153208e+06,-1.15305513e-07,-1.15267282e-07,-5.61435687e-09,-5.57612623e-09,
5.50000000e-06,9.00000000e+02,9.75019375e+04,1.14273463e-01,1.14273463e-07,1.00000000e-06,3.31153221e+06,-1.15305513e-07,-1.15267282e-07,-5.58472635e-09,-5.54649573e-09,
5.95000000e-06,9.00000000e+02,9.75019390e+04,1.14273460e-01,1.14273460e-07,1.00000000e-06,3.31153234e+06,-1.15305513e-07,-1.15267282e-07,-5.56852154e-09,-5.53029094e-09,
6.40000000e-06,9.00000000e+02,9.75019404e+04,1.14273458e-01,1.14273458e-07,1.00000000e-06,3.31153247e+06,-1.15305513e-07,-1.15267282e-07,-5.52925066e-09,-5.49102007e-09,
6.85000000e-06,9.00000000e+02,9.75019418e+04,1.14273455e-01,1.14273455e-07,1.00000000e-06,3.31153260e+06,-1.15305513e-07,-1.15267282e-07,-5.50741665e-09,-5.46918609e-09,
7.30000000e-06,9.00000000e+02,9.75019432e+04,1.14273453e-01,1.14273453e-07,1.00000000e-06,3.31153273e+06,-1.15305513e-07,-1.15267282e-07,-5.50741665e-09,-5.46918609e-09,
7.75000000e-06,9.00000000e+02,9.75019446e+04,1.14273451e-01,1.14273451e-07,1.00000000e-06,3.31153286e+06,-1.15305513e-07,-1.15267282e-07,-5.42026011e-09,-5.38202961e-09,
8.20000000e-06,9.00000000e+02,9.75019460e+04,1.14273448e-01,1.14273448e-07,1.00000000e-06,3.31153298e+06,-1.15305513e-07,-1.15267282e-07,-5.42026011e-09,-5.38202961e-09,
8.65000000e-06,9.00000000e+02,9.75019474e+04,1.14273446e-01,1.14273446e-07,1.00000000e-06,3.31153311e+06,-1.15305513e-07,-1.15267282e-07,-5.42026011e-09,-5.38202961e-09,
9.10000000e-06,9.00000000e+02,9.75019488e+04,1.14273443e-01,1.14273443e-07,1.00000000e-06,3.31153323e+06,-1.15305513e-07,-1.15267282e-07,-5.42026011e-09,-5.38202961e-09,
9.55000000e-06,9.00000000e+02,9.75019501e+04,1.14273441e-01,1.14273441e-07,1.00000000e-06,3.31153335e+06,-1.15305513e-07,-1.15267282e-07,-5.34778371e-09,-5.30955325e-09,
1.00000000e-05,9.00000000e+02,9.75019515e+04,1.14273438e-01,1.14273438e-07,1.00000000e-06,3.31153348e+06,-1.15305513e-07,-1.15267282e-07,-5.34778371e-09,-5.30955325e-09,
1.45000000e-05,9.00000000e+02,9.75019649e+04,1.14273415e-01,1.14273415e-07,1.00000000e-06,3.31153464e+06,-1.15305513e-07,-1.15267282e-07,-5.09554009e-09,-5.05730978e-09,
1.90000000e-05,9.00000000e+02,9.75019777e+04,1.14273392e-01,1.14273392e-07,1.00000000e-06,3.31153572e+06,-1.15305513e-07,-1.15267282e-07,-4.98182544e-09,-4.94359523e-09,
2.35000000e-05,9.00000000e+02,9.75019899e+04,1.14273370e-01,1.14273370e-07,1.00000000e-06,3.31153670e+06,-1.15305513e-07,-1.15267283e-07,-4.79458003e-09,-4.75634995e-09,
2.80000000e-05,9.00000000e+02,9.75020016e+04,1.14273349e-01,1.14273349e-07,1.00000000e-06,3.31153760e+06,-1.15305513e-07,-1.15267283e-07,-4.56080631e-09,-4.52257638e-09,
3.25000000e-05,9.00000000e+02,9.75020128e+04,1.14273329e-01,1.14273329e-07,1.00000000e-06,3.31153842e+06,-1.15305513e-07,-1.15267283e-07,-4.44485428e-09,-4.40662442e-09,
3.70000000e-05,9.00000000e+02,9.75020235e+04,1.14273309e-01,1.14273309e-07,1.00000000e-06,3.31153915e+06,-1.15305513e-07,-1.15267283e-07,-4.29998811e-09,-4.26175837e-09,
4.15000000e-05,9.00000000e+02,9.75020337e+04,1.14273290e-01,1.14273290e-07,1.00000000e-06,3.31153982e+06,-1.15305513e-07,-1.15267283e-07,-4.11515473e-09,-4.07692509e-09,
4.60000000e-05,9.00000000e+02,9.75020434e+04,1.14273272e-01,1.14273272e-07,1.00000000e-06,3.31154040e+06,-1.15305513e-07,-1.15267283e-07,-4.00093307e-09,-3.96270354e-09,
5.05000000e-05,9.00000000e+02,9.75020528e+04,1.14273254e-01,1.14273254e-07,1.00000000e-06,3.31154092e+06,-1.15305513e-07,-1.15267283e-07,-3.80210801e-09,-3.76387857e-09,
5.50000000e-05,9.00000000e+02,9.75020617e+04,1.14273237e-01,1.14273237e-07,1.00000000e-06,3.31154137e+06,-1.15305513e-07,-1.15267283e-07,-3.59844290e-09,-3.56021364e-09,
5.95000000e-05,9.00000000e+02,9.75020701e+04,1.14273221e-01,1.14273221e-07,1.00000000e-06,3.31154175e+06,-1.15305513e-07,-1.15267283e-07,-3.59844290e-09,-3.56021364e-09,
6.40000000e-05,9.00000000e+02,9.75020782e+04,1.14273205e-01,1.14273205e-07,1.00000000e-06,3.31154207e+06,-1.15305513e-07,-1.15267284e-07,-3.38562779e-09,-3.34739868e-09,
6.85000000e-05,9.00000000e+02,9.75020860e+04,1.14273190e-01,1.14273190e-07,1.00000000e-06,3.31154233e+06,-1.15305513e-07,-1.15267284e-07,-3.38562779e-09,-3.34739868e-09,
7.30000000e-05,9.00000000e+02,9.75020933e+04,1.14273176e-01,1.14273176e-07,1.00000000e-06,3.31154253e+06,-1.15305513e-07,-1.15267284e-07,-3.12542720e-09,-3.08719831e-09,
7.75000000e-05,9.00000000e+02,9.75021003e+04,1.14273162e-01,1.14273162e-07,1.00000000e-06,3.31154267e+06,-1.15305513e-07,-1.15267284e-07,-3.12542720e-09,-3.08719831e-09,
