t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-06,2.49460089e-05,1.32764963e-09,3.25101082e-01,5.52431086e-15,8.23046191e-15,1.10330576e-11,6.74873971e-01,5.22773378e-06,4.94463473e-05,3.25036180e-01,1.67842046e-12,5.15917806e-07,2.36612231e-07,6.74908394e-01
1.45000000e-06,2.49460080e-05,1.91093766e-09,3.25101083e-01,1.28835157e-14,1.42385863e-14,1.90522139e-11,6.74873969e-01,5.22774232e-06,5.25565079e-05,3.25031778e-01,2.28261000e-12,6.60114208e-07,2.58173381e-07,6.74909521e-01
1.90000000e-06,2.49460070e-05,2.49366184e-09,3.25101084e-01,2.17857222e-14,2.06789241e-14,2.76412217e-11,6.74873968e-01,5.22775099e-06,5.56802098e-05,3.25027387e-01,2.80516057e-12,7.65212225e-07,2.77491164e-07,6.74910663e-01
2.35000000e-06,2.49460061e-05,3.07615363e-09,3.25101085e-01,3.18427325e-14,2.73030677e-14,3.64701171e-11,6.74873966e-01,5.22775971e-06,5.88062686e-05,3.25023009e-01,3.28861219e-12,8.48371789e-07,2.95528503e-07,6.74911814e-01
2.80000000e-06,2.49460051e-05,3.65854444e-09,3.25101086e-01,4.28443429e-14,3.40126666e-14,4.54085376e-11,6.74873964e-01,5.22776845e-06,6.19286821e-05,3.25018646e-01,3.75584700e-12,9.18834429e-07,3.12803496e-07,6.74912967e-01
3.25000000e-06,2.49460042e-05,4.24089316e-09,3.25101087e-01,5.46701240e-14,4.07638406e-14,5.43984516e-11,6.74873963e-01,5.22777719e-06,6.50440624e-05,3.25014299e-01,4.21982894e-12,9.81846498e-07,3.29610512e-07,6.74914119e-01
3.70000000e-06,2.49460032e-05,4.82322845e-09,3.25101088e-01,6.72479303e-14,4.75354448e-14,6.34119648e-11,6.74873961e-01,5.22778591e-06,6.81504277e-05,3.25009967e-01,4.68818963e-12,1.04050623e-06,3.46123434e-07,6.74915269e-01
4.15000000e-06,2.49460023e-05,5.40556387e-09,3.25101090e-01,8.05346988e-14,5.43176853e-14,7.24362043e-11,6.74873959e-01,5.22779461e-06,7.12466422e-05,3.25005652e-01,5.16534974e-12,1.09661825e-06,3.62443632e-07,6.74916416e-01
4.60000000e-06,2.49460013e-05,5.98790544e-09,3.25101091e-01,9.45053626e-14,6.11064591e-14,8.14658120e-11,6.74873958e-01,5.22780328e-06,7.43320941e-05,3.25001352e-01,5.65374323e-12,1.15118686e-06,3.78627598e-07,6.74917559e-01
5.05000000e-06,2.49460004e-05,6.57025620e-09,3.25101092e-01,1.09144447e-13,6.78999131e-14,9.04983882e-11,6.74873956e-01,5.22781192e-06,7.74064501e-05,3.24997068e-01,6.15474571e-12,1.20479000e-06,3.94707917e-07,6.74918699e-01
5.50000000e-06,2.49459994e-05,7.15261649e-09,3.25101093e-01,1.24444551e-13,7.46982267e-14,9.95342090e-11,6.74873954e-01,5.22782053e-06,8.04696116e-05,3.24992801e-01,6.66884329e-12,1.25764677e-06,4.10697069e-07,6.74919834e-01
5.95000000e-06,2.49459984e-05,7.73498800e-09,3.25101094e-01,1.40398421e-13,8.15005656e-14,1.08572196e-10,6.74873953e-01,5.22782910e-06,8.35214841e-05,3.24988549e-01,7.19650713e-12,1.30997015e-06,4.26607192e-07,6.74920966e-01
6.40000000e-06,2.49459975e-05,8.31737242e-09,3.25101095e-01,1.56999785e-13,8.83061132e-14,1.17611288e-10,6.74873951e-01,5.22783765e-06,8.65620010e-05,3.24984314e-01,7.73809820e-12,1.36192983e-06,4.42447961e-07,6.74922093e-01
6.85000000e-06,2.49459965e-05,8.89977075e-09,3.25101096e-01,1.74244000e-13,9.51145595e-14,1.26651095e-10,6.74873950e-01,5.22784616e-06,8.95911427e-05,3.24980094e-01,8.29380349e-12,1.41362348e-06,4.58225056e-07,6.74923216e-01
7.30000000e-06,2.49459956e-05,9.48218352e-09,3.25101097e-01,1.92127492e-13,1.01925940e-13,1.35691680e-10,6.74873948e-01,5.22785464e-06,9.26089204e-05,3.24975890e-01,8.86368998e-12,1.46510153e-06,4.73941491e-07,6.74924335e-01
7.75000000e-06,2.49459946e-05,1.00646114e-08,3.25101098e-01,2.10647334e-13,1.08740213e-13,1.44733005e-10,6.74873947e-01,5.22786309e-06,9.56153637e-05,3.24971702e-01,9.44775666e-12,1.51638615e-06,4.89598705e-07,6.74925450e-01
8.20000000e-06,2.49459937e-05,1.06470549e-08,3.25101099e-01,2.29799318e-13,1.15557366e-13,1.53775072e-10,6.74873945e-01,5.22787150e-06,9.86104644e-05,3.24967530e-01,1.00461405e-11,1.56755682e-06,5.05201310e-07,6.74926560e-01
8.65000000e-06,2.49459927e-05,1.12295146e-08,3.25101100e-01,2.49582189e-13,1.22377527e-13,1.62818057e-10,6.74873943e-01,5.22787988e-06,1.01594300e-04,3.24963373e-01,1.06586595e-11,1.61856205e-06,5.20746626e-07,6.74927666e-01
9.10000000e-06,2.49459918e-05,1.18119906e-08,3.25101101e-01,2.69995341e-13,1.29200886e-13,1.71862219e-10,6.74873942e-01,5.22788823e-06,1.04566966e-04,3.24959233e-01,1.12850623e-11,1.66932198e-06,5.36230387e-07,6.74928768e-01
9.55000000e-06,2.49459908e-05,1.23944838e-08,3.25101101e-01,2.91035854e-13,1.36027408e-13,1.80907525e-10,6.74873940e-01,5.22789655e-06,1.07528490e-04,3.24955107e-01,1.19253493e-11,1.71986001e-06,5.51654078e-07,6.74929866e-01
1.00000000e-05,2.49459899e-05,1.29769950e-08,3.25101102e-01,3.12697321e-13,1.42856726e-13,1.89953516e-10,6.74873939e-01,5.22790483e-06,1.10478800e-04,3.24950997e-01,1.25799016e-11,1.77035510e-06,5.67027858e-07,6.74930960e-01
1.45000000e-05,2.49459804e-05,1.88032077e-08,3.25101111e-01,5.63168789e-13,2.11320330e-13,2.80474793e-10,6.74873924e-01,5.22798595e-06,1.39380914e-04,3.24910738e-01,1.98736092e-11,2.26304666e-06,7.17508313e-07,6.74941673e-01
1.90000000e-05,2.49459710e-05,2.46318252e-08,3.25101119e-01,8.73471230e-13,2.80083412e-13,3.71102288e-10,6.74873910e-01,5.22806399e-06,1.67216311e-04,3.24871966e-01,2.85021181e-11,2.73845293e-06,8.62470398e-07,6.74951990e-01
2.35000000e-05,2.49459616e-05,3.04633932e-08,3.25101126e-01,1.24136278e-12,3.49143268e-13,4.61843430e-10,6.74873897e-01,5.22813907e-06,1.94025500e-04,3.24834624e-01,3.84131618e-11,3.19667068e-06,1.00209204e-06,6.74961925e-01
2.80000000e-05,2.49459523e-05,3.62984387e-08,3.25101132e-01,1.66466871e-12,4.18495738e-13,5.52703377e-10,6.74873885e-01,5.22821131e-06,2.19846990e-04,3.24798659e-01,4.95583186e-11,3.63853514e-06,1.13658591e-06,6.74971492e-01
3.25000000e-05,2.49459429e-05,4.21374685e-08,3.25101138e-01,2.14130314e-12,4.88137266e-13,6.43687652e-10,6.74873874e-01,5.22828082e-06,2.44718066e-04,3.24764018e-01,6.18901923e-11,4.06451724e-06,1.26613785e-06,6.74980706e-01
3.70000000e-05,2.49459337e-05,4.79809701e-08,3.25101142e-01,2.66925607e-12,5.58064367e-13,7.34801502e-10,6.74873863e-01,5.22834769e-06,2.68674556e-04,3.24730652e-01,7.53634490e-11,4.47516494e-06,1.39093213e-06,6.74989580e-01
4.15000000e-05,2.49459244e-05,5.38294127e-08,3.25101146e-01,3.24658926e-12,6.28273635e-13,8.26049924e-10,6.74873854e-01,5.22841203e-06,2.91750853e-04,3.24698513e-01,8.99348506e-11,4.87115359e-06,1.51115428e-06,6.74998127e-01
4.60000000e-05,2.49459152e-05,5.96832481e-08,3.25101149e-01,3.87143900e-12,6.98761719e-13,9.17437622e-10,6.74873845e-01,5.22847393e-06,3.13980120e-04,3.24667553e-01,1.05562610e-10,5.25304444e-06,1.62697802e-06,6.75006359e-01
5.05000000e-05,2.49459060e-05,6.55429107e-08,3.25101152e-01,4.54201337e-12,7.69525512e-13,1.00896927e-09,6.74873836e-01,5.22853349e-06,3.35394333e-04,3.24637730e-01,1.22206297e-10,5.62129175e-06,1.73856523e-06,6.75014289e-01
5.50000000e-05,2.49458968e-05,7.14088188e-08,3.25101153e-01,5.25658527e-12,8.40561987e-13,1.10064934e-09,6.74873829e-01,5.22859079e-06,3.56024244e-04,3.24608999e-01,1.39827199e-10,5.97639606e-06,1.84607584e-06,6.75021927e-01
5.95000000e-05,2.49458877e-05,7.72813747e-08,3.25101155e-01,6.01349206e-12,9.11868214e-13,1.19248210e-09,6.74873821e-01,5.22864593e-06,3.75899426e-04,3.24581319e-01,1.58388140e-10,6.31886753e-06,1.94966487e-06,6.75029285e-01
