t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
5.05000000e-07,-4.92986721e-14,3.34119393e-11,6.15336360e-11,4.07643095e-16,2.32444773e-16,3.10995622e-13,-9.52079123e-11,-5.28303360e-12,3.54676301e-09,-5.02364742e-09,6.41346184e-09,3.05361332e-10,3.33530010e-11,-5.27000872e-09
5.50000000e-07,-5.45721172e-14,3.33961848e-11,6.19961893e-11,1.56645526e-16,2.44094365e-16,3.26755959e-13,-9.56649587e-11,1.70266171e-12,3.55403451e-09,-5.08968708e-09,-1.83966972e-09,3.03798132e-10,3.23516173e-11,3.03746987e-09
5.95000000e-07,-5.54601811e-14,3.33816507e-11,6.24599609e-11,2.20635729e-16,2.55096430e-16,3.41294974e-13,-9.61279221e-11,1.30322260e-13,3.56091908e-09,-5.13144934e-09,-1.42915382e-10,2.88498962e-10,3.18310860e-11,1.39298527e-09
6.40000000e-07,-5.34616650e-14,3.33682289e-11,6.25815681e-11,2.64366989e-16,2.65223956e-16,3.54724261e-13,-9.62515892e-11,-1.02038920e-15,3.56742206e-09,-5.13227952e-09,-4.83685901e-12,2.76124107e-10,3.12083835e-11,1.26236285e-09
6.85000000e-07,-5.42387065e-14,3.33558160e-11,6.26135935e-11,2.72854214e-16,2.74581023e-16,3.67146808e-13,-9.62828651e-11,1.48078688e-14,3.57352903e-09,-5.13261527e-09,-1.92914852e-12,2.64588011e-10,3.05877694e-11,1.26582480e-09
7.30000000e-07,-5.43496141e-14,3.33443475e-11,6.26563367e-11,2.87606616e-16,2.83231790e-16,3.78627078e-13,-9.63255325e-11,8.27113610e-15,3.57924823e-09,-5.13253982e-09,-1.54013090e-12,2.53672872e-10,2.99841176e-11,1.27116646e-09
7.75000000e-07,-5.48490998e-14,3.33337614e-11,6.26906397e-11,2.98534244e-16,2.91220284e-16,3.89226857e-13,-9.63593686e-11,2.13030577e-14,3.58459411e-09,-5.13231053e-09,4.73967837e-16,2.43344126e-10,2.94012111e-11,1.27494930e-09
8.20000000e-07,-5.47657184e-14,3.33240078e-11,6.27364364e-11,3.13102273e-16,2.98586059e-16,3.98996066e-13,-9.64052862e-11,5.60585734e-14,3.58957666e-09,-5.13177367e-09,6.16152684e-16,2.33579412e-10,2.88454941e-11,1.27971543e-09
8.65000000e-07,-5.46545814e-14,3.33149251e-11,6.27620347e-11,3.27167513e-16,3.05448961e-16,4.08096011e-13,-9.64310338e-11,7.79894604e-14,3.59424507e-09,-5.13116014e-09,6.97082400e-16,2.24296106e-10,2.83163500e-11,1.28422392e-09
9.10000000e-07,-5.46267111e-14,3.33064962e-11,6.28011681e-11,3.40718770e-16,3.11821793e-16,4.16543751e-13,-9.64702338e-11,8.40720421e-14,3.59860427e-09,-5.13048279e-09,7.51748524e-16,2.15485631e-10,2.78140565e-11,1.28849401e-09
9.55000000e-07,-5.46543520e-14,3.32987307e-11,6.28272010e-11,3.53720273e-16,3.17697338e-16,4.24329669e-13,-9.64962785e-11,7.60081126e-14,3.60265149e-09,-5.12973438e-09,7.62495754e-16,2.07152818e-10,2.73384605e-11,1.29251484e-09
1.00000000e-06,-5.46264817e-14,3.32916163e-11,6.28250218e-11,3.66156959e-16,3.23084951e-16,4.31466227e-13,-9.64941671e-11,5.16196873e-14,3.60639033e-09,-5.12892428e-09,7.55229296e-16,1.99291403e-10,2.68897654e-11,1.29630042e-09
1.45000000e-06,-5.37094004e-14,3.32456005e-11,6.27840752e-11,4.68378166e-16,3.58123693e-16,4.77775164e-13,-9.64545680e-11,7.49090185e-14,3.63056115e-09,-5.11765130e-09,6.34260273e-16,1.40895476e-10,2.35537679e-11,1.32256536e-09
1.90000000e-06,-5.44021430e-14,3.32257783e-11,6.24604122e-11,5.42654244e-16,3.73527670e-16,4.97988551e-13,-9.61306930e-11,-1.37245118e-13,3.63837197e-09,-5.10370736e-09,5.93830298e-16,1.07574159e-10,2.16281238e-11,1.33626975e-09
2.35000000e-06,-5.48728424e-14,3.32169790e-11,6.20892810e-11,6.01637371e-16,3.80674659e-16,5.07247254e-13,-9.57596167e-11,-7.05868406e-14,3.63706583e-09,-5.08697110e-09,5.59839434e-16,8.82681839e-11,2.04866051e-11,1.34122051e-09
2.80000000e-06,-5.47051653e-14,3.32132090e-11,6.16464550e-11,6.51604937e-16,3.84064238e-16,5.11530414e-13,-9.53175248e-11,-2.86226433e-14,3.63053917e-09,-5.06922783e-09,5.46235267e-16,7.70203747e-11,1.97974203e-11,1.34189894e-09
3.25000000e-06,-5.32052225e-14,3.32117996e-11,6.11412421e-11,6.96172427e-16,3.85701492e-16,5.13498504e-13,-9.48144169e-11,-3.86465195e-14,3.62100490e-09,-5.05106495e-09,5.51267323e-16,7.04495607e-11,1.93706263e-11,1.34027796e-09
3.70000000e-06,-5.33428607e-14,3.32114680e-11,6.05923353e-11,7.37669092e-16,3.86551318e-16,5.14429822e-13,-9.42660145e-11,-4.43240684e-14,3.60976942e-09,-5.03262307e-09,5.61609393e-16,6.65591417e-11,1.90943450e-11,1.33724392e-09
4.15000000e-06,-5.46739909e-14,3.32116220e-11,6.00710798e-11,7.77572671e-16,3.87059767e-16,5.14914003e-13,-9.37441064e-11,1.98153582e-14,3.59759349e-09,-5.01376627e-09,5.58511017e-16,6.41863998e-11,1.89033378e-11,1.33306267e-09
