t(s),N2,NH3,H2
9.10000000e-02,8.25391292e-01,4.33671957e-03,1.70271992e-01
9.55000000e-02,8.25218743e-01,4.48774301e-03,1.70293518e-01
1.00000000e-01,8.25049092e-01,4.63509402e-03,1.70315818e-01
1.45000000e-01,8.23488765e-01,5.94383801e-03,1.70567401e-01
1.90000000e-01,8.22111444e-01,7.04614196e-03,1.70842417e-01
2.35000000e-01,8.20859010e-01,8.02610178e-03,1.71114893e-01
2.80000000e-01,8.19696222e-01,8.93083335e-03,1.71372949e-01
3.25000000e-01,8.18604602e-01,9.78422331e-03,1.71611178e-01
3.70000000e-01,8.17576266e-01,1.05968393e-02,1.71826896e-01
4.15000000e-01,8.16600648e-01,1.13787683e-02,1.72020585e-01
4.60000000e-01,8.15671289e-01,1.21342854e-02,1.72194423e-01
5.05000000e-01,8.14794840e-01,1.28580997e-02,1.72347059e-01
5.50000000e-01,8.13960618e-01,1.35566551e-02,1.72482725e-01
5.95000000e-01,8.13169707e-01,1.42292319e-02,1.72601061e-01
6.40000000e-01,8.12418443e-01,1.48760570e-02,1.72705499e-01
6.85000000e-01,8.11703114e-01,1.54974360e-02,1.72799447e-01
7.30000000e-01,8.11025811e-01,1.60933643e-02,1.72880821e-01
7.75000000e-01,8.10384119e-01,1.66645909e-02,1.72951287e-01
8.20000000e-01,8.09775981e-01,1.72117244e-02,1.73012295e-01
8.65000000e-01,8.09199599e-01,1.77353910e-02,1.73065011e-01
9.10000000e-01,8.08653438e-01,1.82362311e-02,1.73110333e-01
9.55000000e-01,8.08136042e-01,1.87149356e-02,1.73149025e-01
1.00000000e+00,8.07646030e-01,1.91722343e-02,1.73181738e-01
1.45000000e+00,8.03992920e-01,2.27313202e-02,1.73275816e-01
1.90000000e+00,8.01888084e-01,2.49175756e-02,1.73194395e-01
2.35000000e+00,8.00687526e-01,2.62481775e-02,1.73064364e-01
2.80000000e+00,8.00005581e-01,2.70571833e-02,1.72937275e-01
3.25000000e+00,7.99622267e-01,2.75515130e-02,1.72826241e-01
3.70000000e+00,7.99407134e-01,2.78501596e-02,1.72742711e-01
4.00000000e+00,7.99319750e-01,2.79810930e-02,1.72699166e-01
