 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                        Temp. [K]     Pressure [atm]
   7.90000000E-001    9.01777344E-002    8.90353772E-001    1.94684940E-002    9.00000000E+002    1.00008740E+000
   8.00000000E-001    9.08347476E-002    8.89554916E-001    1.96103367E-002    9.00000000E+002    1.00008480E+000
   8.10000000E-001    9.14875771E-002    8.88761147E-001    1.97512763E-002    9.00000000E+002    1.00008225E+000
   8.20000000E-001    9.21362988E-002    8.87972372E-001    1.98913290E-002    9.00000000E+002    1.00007978E+000
   8.30000000E-001    9.27809859E-002    8.87188503E-001    2.00305106E-002    9.00000000E+002    1.00008030E+000
   8.40000000E-001    9.34217098E-002    8.86409453E-001    2.01688367E-002    9.00000000E+002    1.00008080E+000
   8.50000000E-001    9.40585402E-002    8.85635138E-001    2.03063221E-002    9.00000000E+002    1.00008130E+000
   8.60000000E-001    9.46915443E-002    8.84865474E-001    2.04429816E-002    9.00000000E+002    1.00008178E+000
   8.70000000E-001    9.53207878E-002    8.84100383E-001    2.05788291E-002    9.00000000E+002    1.00008225E+000
   8.80000000E-001    9.59463345E-002    8.83339787E-001    2.07138785E-002    9.00000000E+002    1.00008272E+000
   8.90000000E-001    9.65682461E-002    8.82583611E-001    2.08481432E-002    9.00000000E+002    1.00008316E+000
   9.00000000E-001    9.71865830E-002    8.81831781E-001    2.09816361E-002    9.00000000E+002    1.00008360E+000
   9.10000000E-001    9.78014037E-002    8.81084226E-001    2.11143699E-002    9.00000000E+002    1.00008402E+000
   9.20000000E-001    9.84127652E-002    8.80340878E-001    2.12463569E-002    9.00000000E+002    1.00008443E+000
   9.30000000E-001    9.90207231E-002    8.79601668E-001    2.13776091E-002    9.00000000E+002    1.00008483E+000
   9.40000000E-001    9.96253312E-002    8.78866531E-001    2.15081381E-002    9.00000000E+002    1.00008521E+000
   9.50000000E-001    1.00226642E-001    8.78135402E-001    2.16379553E-002    9.00000000E+002    1.00008490E+000
   9.60000000E-001    1.00824708E-001    8.77408220E-001    2.17670718E-002    9.00000000E+002    1.00008460E+000
   9.70000000E-001    1.01419577E-001    8.76684924E-001    2.18954983E-002    9.00000000E+002    1.00008431E+000
   9.80000000E-001    1.02011300E-001    8.75965455E-001    2.20232454E-002    9.00000000E+002    1.00008401E+000
   9.90000000E-001    1.02599922E-001    8.75249754E-001    2.21503233E-002    9.00000000E+002    1.00008373E+000
   1.00000000E+000    1.03185492E-001    8.74537766E-001    2.22767420E-002    9.00000000E+002    1.00008345E+000
