 Experimental condition #  1
Vol [cm3]               Avg MM [g/mol]        rho [g/cm3]   drho/dt [g/cm3s]        dm/dt [g/s]      mdot_in [g/s]     mdot_out [g/s]   m_gen_surf [g/s]
   6.70000000E-001    1.54876494E+001    2.09744172E-004    2.84181983E-013    2.84181983E-013    2.30618569E-004    2.30618570E-004    9.91162290E-016
   6.80000000E-001    1.54754295E+001    2.09578882E-004   -6.36501674E-013   -6.36501674E-013    2.30618569E-004    2.30618569E-004   -1.03841806E-015
   6.90000000E-001    1.54633197E+001    2.09415075E-004    4.74547628E-013    4.74547628E-013    2.30618569E-004    2.30618569E-004   -2.20724679E-016
   7.00000000E-001    1.54513174E+001    2.09252710E-004   -7.14359134E-014   -7.14359134E-014    2.30618569E-004    2.30618570E-004    4.93609287E-016
   7.10000000E-001    1.54394205E+001    2.09091772E-004    8.30398502E-013    8.30398502E-013    2.30618569E-004    2.30618573E-004    4.16778522E-015
   7.20000000E-001    1.54276266E+001    2.08932224E-004   -2.43686181E-013   -2.43686181E-013    2.30618569E-004    2.30618565E-004   -3.39858696E-015
   7.30000000E-001    1.54159336E+001    2.08773954E-004   -3.24275058E-013   -3.24275058E-013    2.30618569E-004    2.30618563E-004   -5.52523280E-015
   7.40000000E-001    1.54043394E+001    2.08617784E-004   -4.96328663E-013   -4.96328663E-013    2.30618569E-004    2.30618564E-004   -4.58200777E-015
   7.50000000E-001    1.53928421E+001    2.08461385E-004    6.64376774E-013    6.64376774E-013    2.30618569E-004    2.30618575E-004    5.61929787E-015
   7.60000000E-001    1.53814397E+001    2.08306377E-004    2.47200657E-013    2.47200657E-013    2.30618569E-004    2.30618567E-004   -1.71392424E-015
   7.70000000E-001    1.53701302E+001    2.08152641E-004    9.22849986E-013    9.22849986E-013    2.30618569E-004    2.30618569E-004    1.71130389E-016
   7.80000000E-001    1.53589119E+001    2.08000148E-004    1.51796393E-012    1.51796393E-012    2.30618569E-004    2.30618575E-004    5.74349817E-015
   7.90000000E-001    1.53477830E+001    2.07848880E-004    1.64976815E-013    1.64976815E-013    2.30618569E-004    2.30618570E-004    6.23042293E-016
   8.00000000E-001    1.53367418E+001    2.07698812E-004   -3.43351738E-013   -3.43351738E-013    2.30618569E-004    2.30618577E-004    6.32293626E-015
   8.10000000E-001    1.53257866E+001    2.07549923E-004   -1.35100987E-012   -1.35100987E-012    2.30618569E-004    2.30618562E-004   -7.03303677E-015
   8.20000000E-001    1.53149158E+001    2.07402193E-004    1.99379395E-013    1.99379395E-013    2.30618569E-004    2.30618570E-004    8.80823035E-016
   8.30000000E-001    1.53041279E+001    2.07256205E-004   -2.47942129E-013   -2.47942129E-013    2.30618569E-004    2.30618575E-004    4.41351123E-015
   8.40000000E-001    1.52934214E+001    2.07111316E-004    2.99238309E-013    2.99238309E-013    2.30618569E-004    2.30618568E-004   -4.18428313E-016
   8.50000000E-001    1.52827948E+001    2.06967507E-004    1.55139230E-014    1.55139230E-014    2.30618569E-004    2.30618566E-004   -2.42428193E-015
   8.60000000E-001    1.52722466E+001    2.06824759E-004    1.41769463E-013    1.41769463E-013    2.30618569E-004    2.30618570E-004    3.75401198E-016
   8.70000000E-001    1.52617755E+001    2.06683052E-004   -2.54079483E-012   -2.54079483E-012    2.30618569E-004    2.30618564E-004   -6.41013627E-015
   8.80000000E-001    1.52513802E+001    2.06542368E-004   -7.84971290E-013   -7.84971290E-013    2.30618569E-004    2.30618569E-004   -7.62047998E-016
   8.90000000E-001    1.52410593E+001    2.06402690E-004   -2.61481679E-013   -2.61481679E-013    2.30618569E-004    2.30618569E-004   -1.94292545E-016
   9.00000000E-001    1.52308116E+001    2.06264000E-004    5.31601037E-013    5.31601037E-013    2.30618569E-004    2.30618570E-004    1.29352405E-015
   9.10000000E-001    1.52206358E+001    2.06126280E-004   -1.41232811E-013   -1.41232811E-013    2.30618569E-004    2.30618568E-004   -8.99666549E-016
   9.20000000E-001    1.52105307E+001    2.05989516E-004   -3.80312427E-013   -3.80312427E-013    2.30618569E-004    2.30618572E-004    1.86114191E-015
   9.30000000E-001    1.52004952E+001    2.05853691E-004   -6.46620187E-014   -6.46620187E-014    2.30618569E-004    2.30618572E-004    1.87034030E-015
   9.40000000E-001    1.51905281E+001    2.05718789E-004    7.53711327E-013    7.53711327E-013    2.30618569E-004    2.30618569E-004   -8.59453064E-019
   9.50000000E-001    1.51806283E+001    2.05584658E-004    5.58352531E-013    5.58352531E-013    2.30618569E-004    2.30618567E-004   -1.33249859E-015
   9.60000000E-001    1.51707948E+001    2.05451424E-004   -9.56073140E-013   -9.56073140E-013    2.30618569E-004    2.30618570E-004    1.10232942E-018
   9.70000000E-001    1.51610264E+001    2.05319075E-004    2.11035873E-014    2.11035873E-014    2.30618569E-004    2.30618567E-004   -2.21531692E-015
   9.80000000E-001    1.51513221E+001    2.05187595E-004    4.72907100E-013    4.72907100E-013    2.30618569E-004    2.30618564E-004   -3.86262885E-015
   9.90000000E-001    1.51416811E+001    2.05056971E-004   -2.34946064E-013   -2.34946064E-013    2.30618569E-004    2.30618572E-004    1.84716098E-015
   1.00000000E+000    1.51321022E+001    2.04927191E-004   -5.58980977E-013   -5.58980977E-013    2.30618569E-004    2.30618569E-004   -1.03608774E-015
