 Experimental condition #  1
Vol [cm3]             N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   3.10000000E-001    2.86502265E-006    3.23243254E-001    1.42761579E-002    5.63324719E-007    9.70598091E-006    1.43401967E-003    6.61033435E-001    5.85004839E-007    3.19647296E-001    1.32420768E-002    1.19135334E-005    2.24200752E-002    5.30926906E-004    6.44147127E-001    9.00000000E+002
   3.20000000E-001    2.92201575E-006    3.22505833E-001    1.45141143E-002    5.67362681E-007    9.77703104E-006    1.44527571E-003    6.61521511E-001    5.96923942E-007    3.18575109E-001    1.35122906E-002    1.20591883E-005    2.24379865E-002    5.34661199E-004    6.44927297E-001    9.00000000E+002
   3.30000000E-001    2.97808804E-006    3.21782094E-001    1.47490500E-002    5.71342465E-007    9.84412339E-006    1.45616682E-003    6.61999296E-001    6.08648349E-007    3.17536770E-001    1.37784450E-002    1.22010844E-005    2.24543883E-002    5.38276854E-004    6.45679310E-001    9.00000000E+002
   3.40000000E-001    3.03328439E-006    3.21071576E-001    1.49811002E-002    5.75266586E-007    9.90755383E-006    1.46671588E-003    6.62467091E-001    6.20187467E-007    3.16530164E-001    1.40407241E-002    1.23394422E-005    2.24694294E-002    5.41781332E-004    6.46404942E-001    9.00000000E+002
   3.50000000E-001    3.08763931E-006    3.20373856E-001    1.52103707E-002    5.79135957E-007    9.96756981E-006    1.47694213E-003    6.62925197E-001    6.31548576E-007    3.15553420E-001    1.42992782E-002    1.24744292E-005    2.24832092E-002    5.45180874E-004    6.47105806E-001    9.00000000E+002
   3.60000000E-001    3.14118506E-006    3.19688525E-001    1.54369604E-002    5.82951498E-007    1.00243979E-005    1.48686326E-003    6.63373902E-001    6.42738492E-007    3.14604825E-001    1.45542481E-002    1.26062006E-005    2.24958176E-002    5.48481211E-004    6.47783379E-001    9.00000000E+002
   3.70000000E-001    3.19395167E-006    3.19015194E-001    1.56609608E-002    5.86714090E-007    1.00782452E-005    1.49649550E-003    6.63813491E-001    6.53763565E-007    3.13682810E-001    1.48057657E-002    1.27349002E-005    2.25073348E-002    5.51687600E-004    6.48439013E-001    9.00000000E+002
   3.80000000E-001    3.24596748E-006    3.18353486E-001    1.58824581E-002    5.90424652E-007    1.01293028E-005    1.50585388E-003    6.64244236E-001    6.64629802E-007    3.12785930E-001    1.50539554E-002    1.28606624E-005    2.25178347E-002    5.54804903E-004    6.49073949E-001    9.00000000E+002
   3.90000000E-001    3.29725916E-006    3.17703042E-001    1.61015333E-002    5.94084105E-007    1.01777463E-005    1.51495232E-003    6.64666403E-001    6.75342855E-007    3.11912854E-001    1.52989344E-002    1.29836130E-005    2.25273843E-002    5.57837616E-004    6.49689331E-001    9.00000000E+002
   4.00000000E-001    3.34786110E-006    3.17063491E-001    1.63182872E-002    5.97695144E-007    1.02237629E-005    1.52380571E-003    6.65080247E-001    6.85909955E-007    3.11062284E-001    1.55408410E-002    1.31039132E-005    2.25360831E-002    5.60790579E-004    6.50286211E-001    9.00000000E+002
   4.10000000E-001    3.39778769E-006    3.16434525E-001    1.65327667E-002    6.01256877E-007    1.02674759E-005    1.53242396E-003    6.65486018E-001    6.96334223E-007    3.10233152E-001    1.57797520E-002    1.32216287E-005    2.25439478E-002    5.63666965E-004    6.50865563E-001    9.00000000E+002
   4.20000000E-001    3.44705966E-006    3.15815831E-001    1.67450351E-002    6.04769896E-007    1.03090191E-005    1.54081787E-003    6.65883955E-001    7.06620081E-007    3.09424413E-001    1.60157615E-002    1.33368552E-005    2.25510236E-002    5.66470252E-004    6.51428288E-001    9.00000000E+002
   4.30000000E-001    3.49569616E-006    3.15207109E-001    1.69551510E-002    6.08234717E-007    1.03485151E-005    1.54899740E-003    6.66274290E-001    7.16771612E-007    3.08635103E-001    1.62489569E-002    1.34496805E-005    2.25573498E-002    5.69203650E-004    6.51975220E-001    9.00000000E+002
   4.40000000E-001    3.54372435E-006    3.14608045E-001    1.71631943E-002    6.11653571E-007    1.03861010E-005    1.55697374E-003    6.66657246E-001    7.26794540E-007    3.07864257E-001    1.64794483E-002    1.35602289E-005    2.25629983E-002    5.71870785E-004    6.52507138E-001    9.00000000E+002
   4.50000000E-001    3.59116020E-006    3.14018364E-001    1.73692144E-002    6.15026755E-007    1.04218786E-005    1.56475529E-003    6.67033039E-001    7.36692289E-007    3.07111049E-001    1.67073110E-002    1.36685723E-005    2.25679971E-002    5.74474359E-004    6.53024763E-001    9.00000000E+002
   4.60000000E-001    3.63802190E-006    3.13437795E-001    1.75732665E-002    6.18355153E-007    1.04559500E-005    1.57235055E-003    6.67401876E-001    7.46468725E-007    3.06374684E-001    1.69326254E-002    1.37747924E-005    2.25723838E-002    5.77017113E-004    6.53528768E-001    9.00000000E+002
   4.70000000E-001    3.68432678E-006    3.12866076E-001    1.77754033E-002    6.21639647E-007    1.04884105E-005    1.57976750E-003    6.67763959E-001    7.56127542E-007    3.05654419E-001    1.71554683E-002    1.38789667E-005    2.25761934E-002    5.79501618E-004    6.54019782E-001    9.00000000E+002
   4.80000000E-001    3.73009183E-006    3.12302955E-001    1.79756763E-002    6.24881190E-007    1.05193498E-005    1.58701371E-003    6.68119481E-001    7.65672351E-007    3.04949557E-001    1.73759141E-002    1.39811706E-005    2.25794602E-002    5.81930320E-004    6.54498392E-001    9.00000000E+002
   4.90000000E-001    3.77533192E-006    3.11748192E-001    1.81741311E-002    6.28080478E-007    1.05488484E-005    1.59409606E-003    6.68468629E-001    7.75106325E-007    3.04259450E-001    1.75940299E-002    1.40814695E-005    2.25822112E-002    5.84305430E-004    6.54965147E-001    9.00000000E+002
   5.00000000E-001    3.82006196E-006    3.11201554E-001    1.83708135E-002    6.31238328E-007    1.05769832E-005    1.60102114E-003    6.68811583E-001    7.84432637E-007    3.03583488E-001    1.78098820E-002    1.41799289E-005    2.25844742E-002    5.86629077E-004    6.55420562E-001    9.00000000E+002
   5.10000000E-001    3.86429617E-006    3.10662819E-001    1.85657669E-002    6.34355548E-007    1.06038258E-005    1.60779518E-003    6.69148517E-001    7.93654322E-007    3.02921097E-001    1.80235336E-002    1.42766108E-005    2.25862751E-002    5.88903268E-004    6.55865121E-001    9.00000000E+002
   5.20000000E-001    3.90804811E-006    3.10131770E-001    1.87590332E-002    6.37432916E-007    1.06294433E-005    1.61442403E-003    6.69479598E-001    8.02774262E-007    3.02271736E-001    1.82350447E-002    1.43715738E-005    2.25876380E-002    5.91129890E-004    6.56299277E-001    9.00000000E+002
   5.30000000E-001    3.95133073E-006    3.09608201E-001    1.89506522E-002    6.40471203E-007    1.06538981E-005    1.62091323E-003    6.69804988E-001    8.11795222E-007    3.01634896E-001    1.84444733E-002    1.44648738E-005    2.25885853E-002    5.93310730E-004    6.56723458E-001    9.00000000E+002
   5.40000000E-001    3.99415646E-006    3.09091912E-001    1.91406625E-002    6.43471162E-007    1.06772491E-005    1.62726800E-003    6.70124843E-001    8.20719843E-007    3.01010098E-001    1.86518743E-002    1.45565640E-005    2.25891381E-002    5.95447476E-004    6.57138065E-001    9.00000000E+002
   5.50000000E-001    4.03653716E-006    3.08582710E-001    1.93291008E-002    6.46433529E-007    1.06995512E-005    1.63349329E-003    6.70439313E-001    8.29550656E-007    3.00396887E-001    1.88573007E-002    1.46466950E-005    2.25893161E-002    5.97541722E-004    6.57543478E-001    9.00000000E+002
   5.60000000E-001    4.07848415E-006    3.08080411E-001    1.95160025E-002    6.49359013E-007    1.07208558E-005    1.63959377E-003    6.70748544E-001    8.38290070E-007    2.99794836E-001    1.90608028E-002    1.47353147E-005    2.25891376E-002    5.99594977E-004    6.57940055E-001    9.00000000E+002
   5.70000000E-001    4.12000840E-006    3.07584836E-001    1.97014017E-002    6.52248332E-007    1.07412114E-005    1.64557390E-003    6.71052675E-001    8.46940423E-007    2.99203539E-001    1.92624294E-002    1.48224694E-005    2.25886201E-002    6.01608679E-004    6.58328133E-001    9.00000000E+002
   5.80000000E-001    4.16112039E-006    3.07095812E-001    1.98853314E-002    6.55102175E-007    1.07606635E-005    1.65143787E-003    6.71351842E-001    8.55503944E-007    2.98622613E-001    1.94622272E-002    1.49082029E-005    2.25877799E-002    6.03584187E-004    6.58708032E-001    9.00000000E+002
   5.90000000E-001    4.20183016E-006    3.06613173E-001    2.00678230E-002    6.57921216E-007    1.07792548E-005    1.65718969E-003    6.71646175E-001    8.63982771E-007    2.98051693E-001    1.96602407E-002    1.49925572E-005    2.25866322E-002    6.05522794E-004    6.59080055E-001    9.00000000E+002
   6.00000000E-001    4.24214737E-006    3.06136760E-001    2.02489071E-002    6.60706113E-007    1.07970257E-005    1.66283316E-003    6.71935800E-001    8.72378960E-007    2.97490435E-001    1.98565131E-002    1.50755723E-005    2.25851916E-002    6.07425727E-004    6.59444487E-001    9.00000000E+002
   6.10000000E-001    4.28208116E-006    3.05666417E-001    2.04286127E-002    6.63457486E-007    1.08140136E-005    1.66837186E-003    6.72220839E-001    8.80694458E-007    2.96938512E-001    2.00510851E-002    1.51572859E-005    2.25834711E-002    6.09294145E-004    6.59801600E-001    9.00000000E+002
   6.20000000E-001    4.32164033E-006    3.05201996E-001    2.06069677E-002    6.66175940E-007    1.08302541E-005    1.67380920E-003    6.72501409E-001    8.88931139E-007    2.96395612E-001    2.02439962E-002    1.52377342E-005    2.25814831E-002    6.11129154E-004    6.60151653E-001    9.00000000E+002
   6.30000000E-001    4.36083340E-006    3.04743353E-001    2.07839992E-002    6.68862077E-007    1.08457806E-005    1.67914845E-003    6.72777624E-001    8.97090814E-007    2.95861441E-001    2.04352843E-002    1.53169519E-005    2.25792394E-002    6.12931808E-004    6.60494890E-001    9.00000000E+002
   6.40000000E-001    4.39966332E-006    3.04290366E-001    2.09597189E-002    6.71515580E-007    1.08606144E-005    1.68439179E-003    6.73049592E-001    9.05174155E-007    2.95335747E-001    2.06249703E-002    1.53949504E-005    2.25767352E-002    6.14702804E-004    6.60831544E-001    9.00000000E+002
   6.50000000E-001    4.43814372E-006    3.03842882E-001    2.11341681E-002    6.74138013E-007    1.08747969E-005    1.68954321E-003    6.73317420E-001    9.13184013E-007    2.94818228E-001    2.08131067E-002    1.54717858E-005    2.25739988E-002    6.16443444E-004    6.61161838E-001    9.00000000E+002
   6.60000000E-001    4.47628257E-006    3.03400769E-001    2.13073725E-002    6.76729999E-007    1.08883571E-005    1.69460558E-003    6.73581211E-001    9.21122083E-007    2.94308627E-001    2.09997285E-002    1.55474903E-005    2.25710414E-002    6.18154667E-004    6.61485980E-001    9.00000000E+002
   6.70000000E-001    4.51409362E-006    3.02963882E-001    2.14793738E-002    6.79293177E-007    1.09013342E-005    1.69958273E-003    6.73841067E-001    9.28991237E-007    2.93806662E-001    2.11848878E-002    1.56221201E-005    2.25678916E-002    6.19837720E-004    6.61804170E-001    9.00000000E+002
   6.80000000E-001    4.55157649E-006    3.02532124E-001    2.16501740E-002    6.81826801E-007    1.09137386E-005    1.70447592E-003    6.74097079E-001    9.36791454E-007    2.93312145E-001    2.13685937E-002    1.56956721E-005    2.25645357E-002    6.21493003E-004    6.62116601E-001    9.00000000E+002
   6.90000000E-001    4.58873892E-006    3.02105373E-001    2.18197979E-002    6.84331545E-007    1.09255961E-005    1.70928778E-003    6.74349343E-001    9.44524371E-007    2.92824847E-001    2.15508795E-002    1.57681772E-005    2.25609849E-002    6.23121368E-004    6.62423455E-001    9.00000000E+002
   7.00000000E-001    4.62558734E-006    3.01683518E-001    2.19882665E-002    6.86807886E-007    1.09369290E-005    1.71402065E-003    6.74597946E-001    9.52191352E-007    2.92344557E-001    2.17317740E-002    1.58396609E-005    2.25572465E-002    6.24723573E-004    6.62724907E-001    9.00000000E+002
   7.10000000E-001    4.66212855E-006    3.01266446E-001    2.21556020E-002    6.89256393E-007    1.09477595E-005    1.71867686E-003    6.74842976E-001    9.59793843E-007    2.91871069E-001    2.19113071E-002    1.59101501E-005    2.25533296E-002    6.26300378E-004    6.63021124E-001    9.00000000E+002
   7.20000000E-001    4.69836864E-006    3.00854053E-001    2.23218244E-002    6.91677537E-007    1.09581080E-005    1.72325855E-003    6.75084516E-001    9.67333136E-007    2.91404189E-001    2.20895060E-002    1.59796685E-005    2.25492411E-002    6.27852481E-004    6.63312264E-001    9.00000000E+002
   7.30000000E-001    4.73431172E-006    3.00446240E-001    2.24869480E-002    6.94071478E-007    1.09679902E-005    1.72776751E-003    6.75322648E-001    9.74810117E-007    2.90943741E-001    2.22663917E-002    1.60482320E-005    2.25449826E-002    6.29380454E-004    6.63598481E-001    9.00000000E+002
   7.40000000E-001    4.76998303E-006    3.00042842E-001    2.26510476E-002    6.96441938E-007    1.09774604E-005    1.73220894E-003    6.75557457E-001    9.82230000E-007    2.90489439E-001    2.24420488E-002    1.61159421E-005    2.25406161E-002    6.30886033E-004    6.63879912E-001    9.00000000E+002
   7.50000000E-001    4.80533551E-006    2.99643942E-001    2.28139913E-002    6.98780567E-007    1.09864396E-005    1.73657605E-003    6.75789001E-001    9.89583184E-007    2.90041401E-001    2.26163433E-002    1.61826065E-005    2.25359983E-002    6.32366904E-004    6.64156719E-001    9.00000000E+002
