 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                 N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   4.00000000E-001    6.40616372E-010   -1.28123290E-009    1.92184909E-009    8.62503939E-019   -1.29583013E-021    6.15527969E-017    1.55267468E-016   -5.57933323E-022    1.85288457E-021   -2.17682768E-016    7.09338395E-021   -3.16603379E-022    1.19246357E-020   -4.86616458E-018    1.72053567E-022    3.17637355E-022    4.84697347E-018    9.00000000E+002
   4.10000000E-001    6.32786586E-010   -1.26557304E-009    1.89835978E-009   -9.21298825E-019   -1.39307555E-021   -4.97647044E-017   -1.29129025E-016    6.94831715E-023    1.32348898E-021    1.79815028E-016    7.21384212E-021    1.13654616E-021    4.10810979E-020    2.85878914E-018   -2.11758237E-022   -1.00585162E-021   -2.90700301E-018    9.00000000E+002
   4.20000000E-001    6.25224457E-010   -1.25044891E-009    1.87567338E-009    3.90761440E-019    1.13556388E-021   -2.28082371E-017   -1.64888632E-018    4.54328951E-022   -1.58818678E-021    2.40663603E-017    1.41727058E-021   -2.93442322E-022   -1.94552880E-021   -2.19685936E-019    1.32348898E-023    2.91167576E-022    2.20203234E-019    9.00000000E+002
   4.30000000E-001    6.17915477E-010   -1.23583117E-009    1.85374643E-009   -4.55256919E-019   -3.43471240E-021   -8.80613358E-018    2.20353036E-016   -3.79055516E-022    3.81164826E-021   -2.11091643E-016   -1.72479565E-020    9.32232550E-022    2.30154734E-020   -1.26645984E-018   -3.83811804E-022   -6.35274710E-022    1.26077918E-018    9.00000000E+002
   4.40000000E-001    6.10845791E-010   -1.22169162E-009    1.83253738E-009   -1.54711710E-018   -8.44747861E-021   -2.23017129E-017    3.51866192E-017    1.35244030E-022    8.31151079E-021   -1.13377885E-017   -1.28731017E-020   -7.23576241E-022    1.35922318E-020    4.09155295E-018   -1.72053567E-022    8.47032947E-022   -4.09222348E-018    9.00000000E+002
   4.50000000E-001    6.04002997E-010   -1.20800600E-009    1.81200898E-009   -1.12772456E-018    3.61203924E-021    1.49211612E-017    2.04700459E-017    1.46410968E-022   -3.75870870E-021   -3.42634822E-017   -8.20201276E-021   -1.48954549E-021   -2.33331107E-020   -7.65455733E-018    1.98523347E-022    1.52201233E-021    7.68586147E-018    9.00000000E+002
   4.60000000E-001    5.97375437E-010   -1.19475094E-009    1.79212633E-009    1.29908389E-018   -1.16477370E-021   -3.55749603E-017    6.50560479E-017    2.11758237E-022    9.52912066E-022   -3.07801714E-017    2.20493264E-020    6.88214270E-022    3.49401091E-020   -1.12861846E-018    4.23516474E-022   -7.94093388E-022    1.07131139E-018    9.00000000E+002
   4.70000000E-001    5.90952270E-010   -1.18190492E-009    1.77285682E-009    1.17639145E-019    3.58500077E-021   -1.31688634E-017    3.88342784E-016    4.87209381E-022   -4.07634606E-021   -3.75291556E-016    8.30747829E-021    2.19823248E-022    2.00905627E-020   -5.84468615E-018    4.49986253E-022   -1.85288457E-022    5.81580359E-018    9.00000000E+002
   4.80000000E-001    5.84723361E-010   -1.16944660E-009    1.75417009E-009   -3.81164206E-019   -3.38937256E-021   -1.18315109E-017   -1.23270403E-016    1.62954581E-022    3.22931311E-021    1.35483075E-016    1.21863350E-020   -1.29102214E-021    8.60267837E-022   -2.46386002E-018   -1.19114008E-022    1.44260299E-021    2.45078096E-018    9.00000000E+002
   4.90000000E-001    5.78679316E-010   -1.15735878E-009    1.73603789E-009    1.79742704E-018    2.49485428E-021    1.20942057E-016    1.44724004E-016   -6.03841847E-023   -2.43521972E-021   -2.67463487E-016    3.29358505E-020   -9.67801317E-022    2.75153359E-020   -9.30148055E-020   -1.98523347E-022    1.20437497E-021    3.25255689E-020    9.00000000E+002
   5.00000000E-001    5.72811334E-010   -1.14562283E-009    1.71843400E-009   -1.31050138E-018   -5.64214726E-022    4.27993051E-018    1.60480842E-016   -4.44609579E-022    1.00585162E-021   -1.63450268E-016   -3.36759703E-020   -9.30578189E-023    7.71594075E-021    7.76550542E-018   -4.36751363E-022    2.11758237E-022   -7.73922734E-018    9.00000000E+002
   5.10000000E-001    5.67111165E-010   -1.13422234E-009    1.70133346E-009    1.39489328E-018   -1.35409466E-021    7.42879450E-017    6.79658947E-019   -4.44402784E-022    1.79994501E-021   -7.63624986E-017    1.50136900E-020   -2.81644659E-021   -1.11040725E-020    3.08726304E-018   -3.04402465E-022    2.91167576E-021   -3.09096348E-018    9.00000000E+002
   5.20000000E-001    5.61571104E-010   -1.12314193E-009    1.68471331E-009   -3.52071320E-019    3.64639309E-021   -3.84398358E-018   -2.71647447E-016    4.87209381E-022   -4.12928562E-021    2.75843498E-016    4.68349663E-021   -1.53193849E-021   -6.94831715E-021   -9.55053471E-018    1.32348898E-023    1.70730078E-021    9.55261093E-018    9.00000000E+002
   5.30000000E-001    5.56183910E-010   -1.11236817E-009    1.66855172E-009    1.12493552E-018    7.89528385E-021    3.36459376E-017    3.40358019E-016   -2.22718380E-022   -7.67623608E-021   -3.75128889E-016    2.64210793E-020    2.03279636E-022    1.98920394E-020    4.79879899E-018    2.51462906E-022   -2.91167576E-022   -4.84527568E-018    9.00000000E+002
   5.40000000E-001    5.50942798E-010   -1.10188578E-009    1.65282841E-009   -4.73915645E-019    2.96603703E-021   -2.79942346E-017    1.87430611E-016    2.04313611E-022   -3.17637355E-021   -1.58962455E-016   -5.67688885E-021   -1.03407916E-021   -1.07202607E-021   -2.67228307E-018    3.30872245E-022    9.39677176E-022    2.67879551E-018    9.00000000E+002
   5.50000000E-001    5.45841379E-010   -1.09168289E-009    1.63752408E-009    1.96525758E-019   -1.72229343E-021    1.24344094E-016    1.36650104E-016   -1.29598522E-021    3.01755487E-021   -2.61190722E-016   -2.93968616E-020   -1.55737430E-021   -1.85553155E-020   -3.97991665E-018   -2.64697796E-023    1.64112634E-021    4.02781155E-018    9.00000000E+002
   5.60000000E-001    5.40873656E-010   -1.08174723E-009    1.62262100E-009    1.26568300E-018    1.68602673E-021   -4.96498873E-017   -8.05939220E-017   -2.04106816E-022   -1.48230766E-021    1.28978127E-016    2.24799773E-020    1.09746188E-021   -3.00431998E-021   -1.77996033E-018    6.22039821E-022   -1.44260299E-021    1.76020777E-018    9.00000000E+002
   5.70000000E-001    5.36033974E-010   -1.07206771E-009    1.60810195E-009   -5.92275859E-019   -4.68254020E-021   -5.38651809E-017   -2.29533673E-016   -1.32348898E-022    4.81749989E-021    2.83991127E-016    2.23066313E-020   -1.52046136E-021    1.07070258E-020   -3.27042068E-018    2.51462906E-022    1.57495189E-021    3.23710107E-018    9.00000000E+002
   5.80000000E-001    5.31317000E-010   -1.06263394E-009    1.59395099E-009    3.91280056E-019    1.79239699E-021    2.57686061E-017   -5.02221826E-017   -3.59616771E-022   -1.42936810E-021    2.40622930E-017    2.55359961E-020    1.73501133E-022   -4.66662214E-020   -7.23399224E-018    3.17637355E-022   -4.10281584E-022    7.25504161E-018    9.00000000E+002
   5.90000000E-001    5.26717711E-010   -1.05343535E-009    1.58015315E-009   -1.87078455E-018    3.18919485E-021   -4.15804348E-017   -6.47800101E-017    1.25958928E-021   -4.44692297E-021    1.08231228E-016   -2.01205480E-020    1.70109693E-021   -2.76476848E-020   -3.02280913E-018    4.63221143E-022   -1.98523347E-021    3.07039827E-018    9.00000000E+002
   6.00000000E-001    5.22231354E-010   -1.04446285E-009    1.56669404E-009   -5.84688816E-019   -1.64541733E-021    4.76655648E-017    1.39079895E-016   -1.00254290E-021    2.64697796E-021   -1.86160770E-016    4.31617674E-021   -2.67903121E-022   -3.23063660E-020    3.81338203E-018   -6.61744490E-023    1.32348898E-022   -3.78519012E-018    9.00000000E+002
   6.10000000E-001    5.17853447E-010   -1.03570675E-009    1.55356032E-009    1.67811727E-018    4.36867686E-021    4.12983385E-017   -1.38664670E-016   -2.35126089E-022   -4.12928562E-021    9.56882099E-017   -1.58283595E-020   -1.69520327E-021    8.54973881E-021   -3.81735250E-018    0.00000000E+000    1.78671012E-021    3.82453961E-018    9.00000000E+002
