z(m),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
2.800000e-07,7.399028e-10,3.570792e-01,1.729860e-04,4.242558e-07,4.605980e-08,2.571684e-05,6.427216e-01,1.605764e-10,4.469132e-01,1.466542e-04,2.147536e-06,1.382365e-02,4.119711e-05,5.390732e-01
3.250000e-07,8.585692e-10,3.570722e-01,1.863452e-04,4.242479e-07,4.674462e-08,2.765743e-05,6.427133e-01,1.814308e-10,4.468784e-01,1.483859e-04,2.148750e-06,1.381946e-02,4.150649e-05,5.391101e-01
3.700000e-07,9.771879e-10,3.570657e-01,1.988035e-04,4.242405e-07,4.742870e-08,2.946714e-05,6.427056e-01,2.022800e-10,4.468439e-01,1.500995e-04,2.149952e-06,1.381541e-02,4.181236e-05,5.391466e-01
4.150000e-07,1.095760e-09,3.570595e-01,2.105211e-04,4.242335e-07,4.811211e-08,3.116922e-05,6.426984e-01,2.231242e-10,4.468098e-01,1.517956e-04,2.151141e-06,1.381147e-02,4.211483e-05,5.391827e-01
4.600000e-07,1.214285e-09,3.570536e-01,2.216157e-04,4.242268e-07,4.879492e-08,3.278079e-05,6.426915e-01,2.439632e-10,4.467760e-01,1.534747e-04,2.152317e-06,1.380764e-02,4.241400e-05,5.392183e-01
5.050000e-07,1.332764e-09,3.570480e-01,2.321762e-04,4.242204e-07,4.947719e-08,3.431477e-05,6.426850e-01,2.647973e-10,4.467426e-01,1.551374e-04,2.153482e-06,1.380392e-02,4.270998e-05,5.392535e-01
5.500000e-07,1.451198e-09,3.570427e-01,2.422736e-04,4.242142e-07,5.015895e-08,3.578144e-05,6.426788e-01,2.856263e-10,4.467094e-01,1.567842e-04,2.154636e-06,1.380031e-02,4.300286e-05,5.392883e-01
5.950000e-07,1.569587e-09,3.570376e-01,2.519626e-04,4.242083e-07,5.084024e-08,3.718879e-05,6.426728e-01,3.064504e-10,4.466765e-01,1.584155e-04,2.155779e-06,1.379681e-02,4.329274e-05,5.393228e-01
6.400000e-07,1.687932e-09,3.570326e-01,2.612891e-04,4.242025e-07,5.152107e-08,3.854345e-05,6.426671e-01,3.272695e-10,4.466439e-01,1.600318e-04,2.156911e-06,1.379340e-02,4.357971e-05,5.393569e-01
6.850000e-07,1.806233e-09,3.570278e-01,2.702906e-04,4.241969e-07,5.220148e-08,3.985090e-05,6.426615e-01,3.480838e-10,4.466116e-01,1.616335e-04,2.158033e-06,1.379009e-02,4.386384e-05,5.393906e-01
7.300000e-07,1.924491e-09,3.570232e-01,2.789986e-04,4.241914e-07,5.288148e-08,4.111570e-05,6.426562e-01,3.688931e-10,4.465796e-01,1.632210e-04,2.159145e-06,1.378688e-02,4.414522e-05,5.394240e-01
7.750000e-07,2.042706e-09,3.570187e-01,2.874398e-04,4.241861e-07,5.356109e-08,4.234173e-05,6.426510e-01,3.896976e-10,4.465478e-01,1.647948e-04,2.160247e-06,1.378375e-02,4.442392e-05,5.394570e-01
8.200000e-07,2.160878e-09,3.570143e-01,2.956371e-04,4.241809e-07,5.424032e-08,4.353233e-05,6.426460e-01,4.104973e-10,4.465163e-01,1.663552e-04,2.161340e-06,1.378072e-02,4.470002e-05,5.394898e-01
