z(m),Velocity(m/s),Density,Pressure(Pa)
7.300000e-04,1.023785e-02,2.252535e-01,1.013250e+05
7.750000e-04,1.024841e-02,2.250212e-01,1.013250e+05
8.200000e-04,1.025872e-02,2.247951e-01,1.013250e+05
8.650000e-04,1.026885e-02,2.245733e-01,1.013250e+05
9.100000e-04,1.027878e-02,2.243564e-01,1.013250e+05
9.550000e-04,1.028852e-02,2.241440e-01,1.013250e+05
1.000000e-03,1.029810e-02,2.239356e-01,1.013250e+05
1.450000e-03,1.038545e-02,2.220522e-01,1.013250e+05
1.900000e-03,1.046182e-02,2.204313e-01,1.013250e+05
2.350000e-03,1.053041e-02,2.189958e-01,1.013250e+05
2.800000e-03,1.059311e-02,2.176998e-01,1.013250e+05
3.250000e-03,1.065122e-02,2.165123e-01,1.013250e+05
3.700000e-03,1.070560e-02,2.154127e-01,1.013250e+05
4.150000e-03,1.075678e-02,2.143879e-01,1.013250e+05
4.600000e-03,1.080528e-02,2.134257e-01,1.013250e+05
5.050000e-03,1.085149e-02,2.125168e-01,1.013250e+05
5.500000e-03,1.089569e-02,2.116547e-01,1.013250e+05
5.950000e-03,1.093810e-02,2.108340e-01,1.013250e+05
6.400000e-03,1.097892e-02,2.100500e-01,1.013250e+05
6.850000e-03,1.101832e-02,2.092991e-01,1.013250e+05
7.300000e-03,1.105642e-02,2.085778e-01,1.013250e+05
7.750000e-03,1.109334e-02,2.078836e-01,1.013250e+05
8.200000e-03,1.112919e-02,2.072140e-01,1.013250e+05
8.650000e-03,1.116408e-02,2.065663e-01,1.013250e+05
9.100000e-03,1.119800e-02,2.059408e-01,1.013250e+05
9.550000e-03,1.123109e-02,2.053342e-01,1.013250e+05
1.000000e-02,1.126339e-02,2.047453e-01,1.013250e+05
1.000000e-02,1.126339e-02,2.047453e-01,1.013250e+05
