z(m),N2,NH3,H2
2.350000e-03,2.518348e-02,8.992661e-01,7.555044e-02
2.800000e-03,2.799352e-02,8.880260e-01,8.398052e-02
3.250000e-03,3.056831e-02,8.777269e-01,9.170481e-02
3.700000e-03,3.295228e-02,8.681911e-01,9.885659e-02
4.150000e-03,3.517421e-02,8.593035e-01,1.055223e-01
4.600000e-03,3.726051e-02,8.509583e-01,1.117812e-01
5.050000e-03,3.923118e-02,8.430757e-01,1.176931e-01
5.500000e-03,4.110022e-02,8.355997e-01,1.233001e-01
5.950000e-03,4.287976e-02,8.284818e-01,1.286385e-01
6.400000e-03,4.457958e-02,8.216825e-01,1.337379e-01
6.850000e-03,4.620778e-02,8.151697e-01,1.386225e-01
7.300000e-03,4.777158e-02,8.089145e-01,1.433139e-01
7.750000e-03,4.927681e-02,8.028936e-01,1.478296e-01
8.200000e-03,5.072869e-02,7.970867e-01,1.521846e-01
8.650000e-03,5.213296e-02,7.914697e-01,1.563974e-01
9.100000e-03,5.348960e-02,7.860440e-01,1.604664e-01
9.550000e-03,5.480453e-02,7.807838e-01,1.644117e-01
1.000000e-02,5.608122e-02,7.756768e-01,1.682420e-01
1.000000e-02,5.608122e-02,7.756768e-01,1.682420e-01
