z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
5.85000000e-07,4.20725109e-06,3.06566166e-01,2.00946920e-02,6.58334183e-07,1.07803547e-05,1.65809194e-03,6.71665404e-01,8.65107813e-07,2.97997332e-01,1.96883372e-02,1.50038128e-05,2.25857692e-02,6.05838788e-04,6.59106854e-01
5.95000000e-07,4.24760474e-06,3.06089517e-01,2.02760035e-02,6.61119419e-07,1.07980597e-05,1.66373394e-03,6.71955039e-01,8.73511552e-07,2.97436027e-01,1.98848373e-02,1.50868183e-05,2.25842692e-02,6.07741274e-04,6.59471165e-01
6.05000000e-07,4.28757460e-06,3.05618943e-01,2.04559346e-02,6.63871111e-07,1.08149833e-05,1.66927118e-03,6.72240085e-01,8.81834524e-07,2.96884055e-01,2.00796351e-02,1.51685223e-05,2.25824906e-02,6.09609250e-04,6.59828160e-01
6.15000000e-07,4.32716961e-06,3.05154296e-01,2.06345135e-02,6.66589886e-07,1.08311613e-05,1.67470712e-03,6.72520658e-01,8.90078629e-07,2.96341106e-01,2.02727704e-02,1.52489615e-05,2.25804461e-02,6.11443829e-04,6.60178095e-01
6.25000000e-07,4.36639837e-06,3.04695431e-01,2.08117677e-02,6.69276361e-07,1.08466273e-05,1.68004501e-03,6.72796874e-01,8.98245698e-07,2.95806883e-01,2.04642816e-02,1.53281708e-05,2.25781477e-02,6.13246071e-04,6.60521215e-01
6.35000000e-07,4.40526916e-06,3.04242209e-01,2.09877238e-02,6.71931135e-07,1.08614130e-05,1.68528798e-03,6.73068841e-01,9.06337492e-07,2.95281104e-01,2.06542053e-02,1.54061841e-05,2.25756069e-02,6.15016986e-04,6.60857754e-01
6.45000000e-07,4.44378996e-06,3.03794494e-01,2.11624073e-02,6.74554793e-07,1.08755484e-05,1.69043900e-03,6.73336666e-01,9.14355707e-07,2.94763501e-01,2.08425773e-02,1.54830335e-05,2.25728344e-02,6.16757537e-04,6.61187932e-01
6.55000000e-07,4.48196846e-06,3.03352156e-01,2.13358429e-02,6.77147907e-07,1.08890618e-05,1.69550092e-03,6.73600452e-01,9.22301979e-07,2.94253818e-01,2.10294316e-02,1.55587500e-05,2.25698403e-02,6.18468646e-04,6.61511961e-01
6.65000000e-07,4.51981206e-06,3.02915070e-01,2.15080547e-02,6.79711036e-07,1.09019799e-05,1.70047644e-03,6.73860297e-01,9.30177883e-07,2.93751809e-01,2.12148013e-02,1.56333634e-05,2.25666342e-02,6.20151192e-04,6.61830040e-01
6.75000000e-07,4.55732794e-06,3.02483114e-01,2.16790659e-02,6.82244725e-07,1.09143282e-05,1.70536816e-03,6.74116298e-01,9.37984939e-07,2.93257243e-01,2.13987183e-02,1.57069021e-05,2.25632253e-02,6.21806016e-04,6.62142362e-01
6.85000000e-07,4.59452300e-06,3.02056171e-01,2.18488989e-02,6.84749504e-07,1.09261306e-05,1.71017855e-03,6.74368547e-01,9.45724617e-07,2.92769897e-01,2.15812133e-02,1.57793937e-05,2.25596221e-02,6.23433923e-04,6.62449109e-01
6.95000000e-07,4.63140391e-06,3.01634125e-01,2.20175755e-02,6.87225894e-07,1.09374098e-05,1.71490999e-03,6.74617134e-01,9.53398332e-07,2.92289557e-01,2.17623160e-02,1.58508644e-05,2.25558329e-02,6.25035684e-04,6.62750455e-01
7.05000000e-07,4.66797711e-06,3.01216867e-01,2.21851167e-02,6.89674400e-07,1.09481875e-05,1.71956475e-03,6.74862145e-01,9.61007455e-07,2.91816019e-01,2.19420550e-02,1.59213397e-05,2.25518655e-02,6.26612035e-04,6.63046566e-01
7.15000000e-07,4.70424885e-06,3.00804291e-01,2.23515432e-02,6.92095518e-07,1.09584841e-05,1.72414501e-03,6.75103666e-01,9.68553307e-07,2.91349089e-01,2.21204582e-02,1.59908440e-05,2.25477271e-02,6.28163686e-04,6.63337603e-01
7.25000000e-07,4.74022514e-06,3.00396292e-01,2.25168747e-02,6.94489731e-07,1.09683190e-05,1.72865284e-03,6.75341777e-01,9.76037169e-07,2.90888580e-01,2.22975523e-02,1.60594008e-05,2.25434248e-02,6.29691314e-04,6.63623716e-01
7.35000000e-07,4.77591183e-06,2.99992771e-01,2.26811305e-02,6.96857510e-07,1.09777106e-05,1.73309025e-03,6.75576558e-01,9.83460278e-07,2.90434313e-01,2.24733633e-02,1.61270327e-05,2.25389654e-02,6.31195572e-04,6.63905052e-01
7.45000000e-07,4.81131455e-06,2.99593631e-01,2.28443294e-02,6.99199315e-07,1.09866765e-05,1.73745917e-03,6.75808083e-01,9.90823831e-07,2.89986116e-01,2.26479163e-02,1.61937617e-05,2.25343551e-02,6.32677083e-04,6.64181751e-01
