z(m^3),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.25000000e-07,9.00000000e+02,1.01325000e+05,2.22843624e-01,2.22843624e-09,1.00000000e-08,-2.37653462e+06,-2.30611025e-07,-2.30611025e-07,-9.50280963e-17,-9.50280970e-17,
1.35000000e-07,9.00000000e+02,1.01325000e+05,2.22443803e-01,2.22443803e-09,1.00000000e-08,-2.36534862e+06,-2.30611025e-07,-2.30611025e-07,3.09852909e-17,3.09852858e-17,
1.45000000e-07,9.00000000e+02,1.01325000e+05,2.22057189e-01,2.22057189e-09,1.00000000e-08,-2.35449383e+06,-2.30611025e-07,-2.30611025e-07,-6.96264554e-17,-6.96264524e-17,
1.55000000e-07,9.00000000e+02,1.01325000e+05,2.21682703e-01,2.21682703e-09,1.00000000e-08,-2.34394346e+06,-2.30611025e-07,-2.30611025e-07,-1.25351487e-17,-1.25351612e-17,
1.65000000e-07,9.00000000e+02,1.01325000e+05,2.21319407e-01,2.21319407e-09,1.00000000e-08,-2.33367420e+06,-2.30611025e-07,-2.30611025e-07,9.02774227e-17,9.02774333e-17,
1.75000000e-07,9.00000000e+02,1.01325000e+05,2.20966476e-01,2.20966476e-09,1.00000000e-08,-2.32366561e+06,-2.30611025e-07,-2.30611025e-07,-6.34917929e-18,-6.34917368e-18,
1.85000000e-07,9.00000000e+02,1.01325000e+05,2.20623185e-01,2.20623185e-09,1.00000000e-08,-2.31389966e+06,-2.30611025e-07,-2.30611025e-07,-1.49566035e-16,-1.49566034e-16,
1.95000000e-07,9.00000000e+02,1.01325000e+05,2.20288887e-01,2.20288887e-09,1.00000000e-08,-2.30436029e+06,-2.30611025e-07,-2.30611025e-07,-1.47134168e-17,-1.47134123e-17,
2.05000000e-07,9.00000000e+02,1.01325000e+05,2.19963005e-01,2.19963005e-09,1.00000000e-08,-2.29503318e+06,-2.30611025e-07,-2.30611025e-07,2.59816094e-16,2.59816080e-16,
2.15000000e-07,9.00000000e+02,1.01325000e+05,2.19645021e-01,2.19645021e-09,1.00000000e-08,-2.28590542e+06,-2.30611025e-07,-2.30611025e-07,-1.44858891e-16,-1.44858886e-16,
2.25000000e-07,9.00000000e+02,1.01325000e+05,2.19334466e-01,2.19334466e-09,1.00000000e-08,-2.27696539e+06,-2.30611025e-07,-2.30611025e-07,-5.06290887e-16,-5.06290889e-16,
2.35000000e-07,9.00000000e+02,1.01325000e+05,2.19030917e-01,2.19030917e-09,1.00000000e-08,-2.26820253e+06,-2.30611025e-07,-2.30611025e-07,-2.54585148e-16,-2.54585149e-16,
2.45000000e-07,9.00000000e+02,1.01325000e+05,2.18733987e-01,2.18733987e-09,1.00000000e-08,-2.25960723e+06,-2.30611025e-07,-2.30611025e-07,-1.15566126e-16,-1.15566131e-16,
2.55000000e-07,9.00000000e+02,1.01325000e+05,2.18443325e-01,2.18443325e-09,1.00000000e-08,-2.25117072e+06,-2.30611025e-07,-2.30611025e-07,-4.95270970e-16,-4.95270964e-16,
2.65000000e-07,9.00000000e+02,1.01325000e+05,2.18158607e-01,2.18158607e-09,1.00000000e-08,-2.24288495e+06,-2.30611025e-07,-2.30611025e-07,-3.18369749e-18,-3.18370568e-18,
2.75000000e-07,9.00000000e+02,1.01325000e+05,2.17879537e-01,2.17879537e-09,1.00000000e-08,-2.23474253e+06,-2.30611025e-07,-2.30611025e-07,-1.67494876e-16,-1.67494863e-16,
2.85000000e-07,9.00000000e+02,1.01325000e+05,2.17605842e-01,2.17605842e-09,1.00000000e-08,-2.22673664e+06,-2.30611025e-07,-2.30611025e-07,-6.89810521e-17,-6.89810397e-17,
2.95000000e-07,9.00000000e+02,1.01325000e+05,2.17337269e-01,2.17337269e-09,1.00000000e-08,-2.21886097e+06,-2.30611025e-07,-2.30611025e-07,1.32538129e-17,1.32538157e-17,
3.05000000e-07,9.00000000e+02,1.01325000e+05,2.17073584e-01,2.17073584e-09,1.00000000e-08,-2.21110969e+06,-2.30611025e-07,-2.30611025e-07,-1.71396404e-16,-1.71396402e-16,
3.15000000e-07,9.00000000e+02,1.01325000e+05,2.16814570e-01,2.16814570e-09,1.00000000e-08,-2.20347738e+06,-2.30611025e-07,-2.30611025e-07,3.03595293e-16,3.03595296e-16,
3.25000000e-07,9.00000000e+02,1.01325000e+05,2.16560026e-01,2.16560026e-09,1.00000000e-08,-2.19595898e+06,-2.30611025e-07,-2.30611025e-07,8.46794698e-17,8.46794719e-17,
3.35000000e-07,9.00000000e+02,1.01325000e+05,2.16309764e-01,2.16309764e-09,1.00000000e-08,-2.18854979e+06,-2.30611025e-07,-2.30611025e-07,-3.57298855e-17,-3.57298879e-17,
3.45000000e-07,9.00000000e+02,1.01325000e+05,2.16063607e-01,2.16063607e-09,1.00000000e-08,-2.18124542e+06,-2.30611025e-07,-2.30611025e-07,2.15332606e-16,2.15332610e-16,
3.55000000e-07,9.00000000e+02,1.01325000e+05,2.15821392e-01,2.15821392e-09,1.00000000e-08,-2.17404174e+06,-2.30611025e-07,-2.30611025e-07,-2.46651465e-16,-2.46651468e-16,
3.65000000e-07,9.00000000e+02,1.01325000e+05,2.15582965e-01,2.15582965e-09,1.00000000e-08,-2.16693490e+06,-2.30611025e-07,-2.30611025e-07,1.60111057e-17,1.60110932e-17,
3.75000000e-07,9.00000000e+02,1.01325000e+05,2.15348181e-01,2.15348181e-09,1.00000000e-08,-2.15992128e+06,-2.30611025e-07,-2.30611025e-07,7.08825084e-17,7.08824964e-17,
3.85000000e-07,9.00000000e+02,1.01325000e+05,2.15116904e-01,2.15116904e-09,1.00000000e-08,-2.15299747e+06,-2.30611025e-07,-2.30611025e-07,7.73089450e-19,7.73076383e-19,
3.95000000e-07,9.00000000e+02,1.01325000e+05,2.14889007e-01,2.14889007e-09,1.00000000e-08,-2.14616026e+06,-2.30611025e-07,-2.30611025e-07,2.53338444e-17,2.53338555e-17,
4.05000000e-07,9.00000000e+02,1.01325000e+05,2.14664370e-01,2.14664370e-09,1.00000000e-08,-2.13940663e+06,-2.30611025e-07,-2.30611025e-07,-1.38095692e-16,-1.38095699e-16,
4.15000000e-07,9.00000000e+02,1.01325000e+05,2.14442878e-01,2.14442878e-09,1.00000000e-08,-2.13273371e+06,-2.30611025e-07,-2.30611025e-07,-4.99952454e-19,-4.99961197e-19,
4.25000000e-07,9.00000000e+02,1.01325000e+05,2.14224424e-01,2.14224424e-09,1.00000000e-08,-2.12613882e+06,-2.30611025e-07,-2.30611025e-07,1.14470761e-17,1.14470679e-17,
4.35000000e-07,9.00000000e+02,1.01325000e+05,2.14008908e-01,2.14008907e-09,1.00000000e-08,-2.11961939e+06,-2.30611025e-07,-2.30611025e-07,-1.68426301e-16,-1.68426308e-16,
4.45000000e-07,9.00000000e+02,1.01325000e+05,2.13796231e-01,2.13796231e-09,1.00000000e-08,-2.11317300e+06,-2.30611025e-07,-2.30611025e-07,5.85293454e-18,5.85294473e-18,
4.55000000e-07,9.00000000e+02,1.01325000e+05,2.13586304e-01,2.13586304e-09,1.00000000e-08,-2.10679736e+06,-2.30611025e-07,-2.30611025e-07,-5.93677997e-17,-5.93677981e-17,
4.65000000e-07,9.00000000e+02,1.01325000e+05,2.13379040e-01,2.13379040e-09,1.00000000e-08,-2.10049027e+06,-2.30611025e-07,-2.30611025e-07,4.67064515e-18,4.67064555e-18,
4.75000000e-07,9.00000000e+02,1.01325000e+05,2.13174356e-01,2.13174356e-09,1.00000000e-08,-2.09424967e+06,-2.30611025e-07,-2.30611025e-07,-2.95691129e-16,-2.95691129e-16,
4.85000000e-07,9.00000000e+02,1.01325000e+05,2.12972174e-01,2.12972174e-09,1.00000000e-08,-2.08807359e+06,-2.30611025e-07,-2.30611025e-07,-3.73879070e-16,-3.73879072e-16,
4.95000000e-07,9.00000000e+02,1.01325000e+05,2.12772420e-01,2.12772420e-09,1.00000000e-08,-2.08196013e+06,-2.30611025e-07,-2.30611025e-07,-1.00367128e-16,-1.00367131e-16,
5.05000000e-07,9.00000000e+02,1.01325000e+05,2.12575023e-01,2.12575023e-09,1.00000000e-08,-2.07590753e+06,-2.30611025e-07,-2.30611025e-07,1.60362615e-16,1.60362607e-16,
5.15000000e-07,9.00000000e+02,1.01325000e+05,2.12379915e-01,2.12379915e-09,1.00000000e-08,-2.06991405e+06,-2.30611025e-07,-2.30611025e-07,-1.31776831e-17,-1.31776886e-17,
5.25000000e-07,9.00000000e+02,1.01325000e+05,2.12187032e-01,2.12187032e-09,1.00000000e-08,-2.06397808e+06,-2.30611025e-07,-2.30611025e-07,2.40679117e-17,2.40679118e-17,
5.35000000e-07,9.00000000e+02,1.01325000e+05,2.11996311e-01,2.11996311e-09,1.00000000e-08,-2.05809804e+06,-2.30611025e-07,-2.30611025e-07,1.33755232e-16,1.33755211e-16,
5.45000000e-07,9.00000000e+02,1.01325000e+05,2.11807694e-01,2.11807694e-09,1.00000000e-08,-2.05227246e+06,-2.30611025e-07,-2.30611025e-07,-4.27761802e-17,-4.27761697e-17,
5.55000000e-07,9.00000000e+02,1.01325000e+05,2.11621125e-01,2.11621125e-09,1.00000000e-08,-2.04649990e+06,-2.30611025e-07,-2.30611025e-07,9.20744574e-17,9.20744666e-17,
5.65000000e-07,9.00000000e+02,1.01325000e+05,2.11436550e-01,2.11436550e-09,1.00000000e-08,-2.04077900e+06,-2.30611025e-07,-2.30611025e-07,-2.31611609e-16,-2.31611604e-16,
5.75000000e-07,9.00000000e+02,1.01325000e+05,2.11253916e-01,2.11253916e-09,1.00000000e-08,-2.03510845e+06,-2.30611025e-07,-2.30611025e-07,1.25038761e-16,1.25038765e-16,
5.85000000e-07,9.00000000e+02,1.01325000e+05,2.11073174e-01,2.11073174e-09,1.00000000e-08,-2.02948699e+06,-2.30611025e-07,-2.30611025e-07,-4.07875463e-16,-4.07875454e-16,
5.95000000e-07,9.00000000e+02,1.01325000e+05,2.10894278e-01,2.10894278e-09,1.00000000e-08,-2.02391341e+06,-2.30611025e-07,-2.30611025e-07,-2.76263156e-18,-2.76262443e-18,
6.05000000e-07,9.00000000e+02,1.01325000e+05,2.10717180e-01,2.10717180e-09,1.00000000e-08,-2.01838656e+06,-2.30611025e-07,-2.30611025e-07,-2.36211878e-17,-2.36211813e-17,
6.15000000e-07,9.00000000e+02,1.01325000e+05,2.10541837e-01,2.10541837e-09,1.00000000e-08,-2.01290532e+06,-2.30611025e-07,-2.30611025e-07,1.05754924e-16,1.05754922e-16,
6.25000000e-07,9.00000000e+02,1.01325000e+05,2.10368208e-01,2.10368208e-09,1.00000000e-08,-2.00746864e+06,-2.30611025e-07,-2.30611025e-07,-1.63133422e-16,-1.63133411e-16,
6.35000000e-07,9.00000000e+02,1.01325000e+05,2.10196251e-01,2.10196251e-09,1.00000000e-08,-2.00207547e+06,-2.30611025e-07,-2.30611025e-07,1.92157700e-16,1.92157709e-16,
6.45000000e-07,9.00000000e+02,1.01325000e+05,2.10025927e-01,2.10025927e-09,1.00000000e-08,-1.99672482e+06,-2.30611025e-07,-2.30611025e-07,-8.84551971e-17,-8.84552007e-17,
6.55000000e-07,9.00000000e+02,1.01325000e+05,2.09857200e-01,2.09857200e-09,1.00000000e-08,-1.99141575e+06,-2.30611025e-07,-2.30611025e-07,5.36850041e-17,5.36850011e-17,
6.65000000e-07,9.00000000e+02,1.01325000e+05,2.09690032e-01,2.09690032e-09,1.00000000e-08,-1.98614734e+06,-2.30611025e-07,-2.30611025e-07,-3.73136482e-17,-3.73136542e-17,
6.75000000e-07,9.00000000e+02,1.01325000e+05,2.09524389e-01,2.09524389e-09,1.00000000e-08,-1.98091869e+06,-2.30611025e-07,-2.30611025e-07,-8.02373557e-18,-8.02373135e-18,
6.85000000e-07,9.00000000e+02,1.01325000e+05,2.09360238e-01,2.09360238e-09,1.00000000e-08,-1.97572896e+06,-2.30611025e-07,-2.30611025e-07,4.13028635e-17,4.13028618e-17,
6.95000000e-07,9.00000000e+02,1.01325000e+05,2.09197545e-01,2.09197545e-09,1.00000000e-08,-1.97057732e+06,-2.30611025e-07,-2.30611025e-07,-1.69624809e-16,-1.69624806e-16,
7.05000000e-07,9.00000000e+02,1.01325000e+05,2.09036281e-01,2.09036281e-09,1.00000000e-08,-1.96546297e+06,-2.30611025e-07,-2.30611025e-07,1.05612325e-16,1.05612329e-16,
7.15000000e-07,9.00000000e+02,1.01325000e+05,2.08876414e-01,2.08876414e-09,1.00000000e-08,-1.96038515e+06,-2.30611025e-07,-2.30611025e-07,2.02650428e-17,2.02650515e-17,
7.25000000e-07,9.00000000e+02,1.01325000e+05,2.08717915e-01,2.08717915e-09,1.00000000e-08,-1.95534311e+06,-2.30611025e-07,-2.30611025e-07,6.41754587e-17,6.41754512e-17,
7.35000000e-07,9.00000000e+02,1.01325000e+05,2.08560756e-01,2.08560756e-09,1.00000000e-08,-1.95033613e+06,-2.30611025e-07,-2.30611025e-07,-6.30275877e-12,-6.30275877e-12,
7.45000000e-07,9.00000000e+02,1.01325000e+05,2.08404910e-01,2.08404910e-09,1.00000000e-08,-1.94536352e+06,-2.30611025e-07,-2.30611025e-07,-7.03055356e-17,-7.03055346e-17,
7.55000000e-07,9.00000000e+02,1.01325000e+05,2.08250350e-01,2.08250350e-09,1.00000000e-08,-1.94042461e+06,-2.30611025e-07,-2.30611025e-07,-1.31911081e-16,-1.31911088e-16,
7.65000000e-07,9.00000000e+02,1.01325000e+05,2.08097052e-01,2.08097052e-09,1.00000000e-08,-1.93551874e+06,-2.30611025e-07,-2.30611025e-07,-7.23470713e-17,-7.23470693e-17,
7.75000000e-07,9.00000000e+02,1.01325000e+05,2.07944990e-01,2.07944990e-09,1.00000000e-08,-1.93064529e+06,-2.30611025e-07,-2.30611025e-07,-1.47881029e-16,-1.47881021e-16,
7.85000000e-07,9.00000000e+02,1.01325000e+05,2.07794139e-01,2.07794139e-09,1.00000000e-08,-1.92580364e+06,-2.30611025e-07,-2.30611025e-07,-1.30592643e-18,-1.30593952e-18,
7.95000000e-07,9.00000000e+02,1.01325000e+05,2.07644478e-01,2.07644478e-09,1.00000000e-08,-1.92099321e+06,-2.30611025e-07,-2.30611025e-07,-6.97319343e-17,-6.97319344e-17,
8.05000000e-07,9.00000000e+02,1.01325000e+05,2.07495984e-01,2.07495984e-09,1.00000000e-08,-1.91621342e+06,-2.30611025e-07,-2.30611025e-07,5.16804295e-17,5.16804183e-17,
8.15000000e-07,9.00000000e+02,1.01325000e+05,2.07348635e-01,2.07348635e-09,1.00000000e-08,-1.91146371e+06,-2.30611025e-07,-2.30611025e-07,-1.47918634e-16,-1.47918634e-16,
8.25000000e-07,9.00000000e+02,1.01325000e+05,2.07202409e-01,2.07202409e-09,1.00000000e-08,-1.90674354e+06,-2.30611025e-07,-2.30611025e-07,-7.98751495e-17,-7.98751540e-17,
8.35000000e-07,9.00000000e+02,1.01325000e+05,2.07057286e-01,2.07057286e-09,1.00000000e-08,-1.90205239e+06,-2.30611025e-07,-2.30611025e-07,-1.07502836e-16,-1.07502828e-16,
8.45000000e-07,9.00000000e+02,1.01325000e+05,2.06913247e-01,2.06913247e-09,1.00000000e-08,-1.89738975e+06,-2.30611025e-07,-2.30611025e-07,-1.76485981e-16,-1.76485985e-16,
8.55000000e-07,9.00000000e+02,1.01325000e+05,2.06770271e-01,2.06770271e-09,1.00000000e-08,-1.89275512e+06,-2.30611025e-07,-2.30611025e-07,-5.15875733e-17,-5.15875623e-17,
8.65000000e-07,9.00000000e+02,1.01325000e+05,2.06628341e-01,2.06628341e-09,1.00000000e-08,-1.88814804e+06,-2.30611025e-07,-2.30611025e-07,5.98295343e-17,5.98295370e-17,
8.75000000e-07,9.00000000e+02,1.01325000e+05,2.06487437e-01,2.06487437e-09,1.00000000e-08,-1.88356802e+06,-2.30611025e-07,-2.30611025e-07,-9.21700458e-17,-9.21700490e-17,
8.85000000e-07,9.00000000e+02,1.01325000e+05,2.06347543e-01,2.06347543e-09,1.00000000e-08,-1.87901462e+06,-2.30611025e-07,-2.30611025e-07,-5.16983796e-18,-5.16983912e-18,
8.95000000e-07,9.00000000e+02,1.01325000e+05,2.06208641e-01,2.06208641e-09,1.00000000e-08,-1.87448739e+06,-2.30611025e-07,-2.30611025e-07,-1.55242678e-17,-1.55242610e-17,
9.05000000e-07,9.00000000e+02,1.01325000e+05,2.06070714e-01,2.06070714e-09,1.00000000e-08,-1.86998591e+06,-2.30611025e-07,-2.30611025e-07,8.03039120e-17,8.03039115e-17,
9.15000000e-07,9.00000000e+02,1.01325000e+05,2.05933746e-01,2.05933746e-09,1.00000000e-08,-1.86550976e+06,-2.30611025e-07,-2.30611025e-07,6.14861755e-17,6.14861746e-17,
9.25000000e-07,9.00000000e+02,1.01325000e+05,2.05797721e-01,2.05797721e-09,1.00000000e-08,-1.86105854e+06,-2.30611025e-07,-2.30611025e-07,-1.18679382e-16,-1.18679374e-16,
9.35000000e-07,9.00000000e+02,1.01325000e+05,2.05662624e-01,2.05662624e-09,1.00000000e-08,-1.85663184e+06,-2.30611025e-07,-2.30611025e-07,-4.17445765e-17,-4.17445894e-17,
9.45000000e-07,9.00000000e+02,1.01325000e+05,2.05528439e-01,2.05528439e-09,1.00000000e-08,-1.85222928e+06,-2.30611025e-07,-2.30611025e-07,-2.00610575e-17,-2.00610489e-17,
9.55000000e-07,9.00000000e+02,1.01325000e+05,2.05395152e-01,2.05395152e-09,1.00000000e-08,-1.84785049e+06,-2.30611025e-07,-2.30611025e-07,6.15017053e-17,6.15017123e-17,
9.65000000e-07,9.00000000e+02,1.01325000e+05,2.05262749e-01,2.05262749e-09,1.00000000e-08,-1.84349510e+06,-2.30611025e-07,-2.30611025e-07,-1.88564439e-16,-1.88564437e-16,
9.75000000e-07,9.00000000e+02,1.01325000e+05,2.05131216e-01,2.05131216e-09,1.00000000e-08,-1.83916275e+06,-2.30611025e-07,-2.30611025e-07,2.32101561e-16,2.32101559e-16,
9.85000000e-07,9.00000000e+02,1.01325000e+05,2.05000539e-01,2.05000539e-09,1.00000000e-08,-1.83485311e+06,-2.30611025e-07,-2.30611025e-07,-5.53210992e-17,-5.53210982e-17,
9.95000000e-07,9.00000000e+02,1.01325000e+05,2.04870705e-01,2.04870705e-09,1.00000000e-08,-1.83056582e+06,-2.30611025e-07,-2.30611025e-07,-2.71819356e-16,-2.71819358e-16,
