z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
6.25000000e-07,1.14334719e-17,-1.02086289e-19,2.30283911e-15,-6.45003331e-17,-1.64724747e-20,1.18584613e-19,-2.24977227e-15,-2.52978301e-19,1.29834269e-20,8.31680475e-19,-4.35166353e-17,2.43521972e-21,-1.14349448e-20,4.29339494e-17
6.35000000e-07,-1.18289373e-16,1.51521911e-19,-7.11956090e-17,-2.34468974e-15,-1.09601431e-20,-1.40607469e-19,2.53417477e-15,-3.17430643e-18,2.63589374e-20,6.14098887e-20,-3.89685978e-17,-3.81164826e-21,-2.49874719e-20,4.20839353e-17
6.45000000e-07,-8.31747063e-18,-1.73580543e-19,-1.45173158e-15,6.68891024e-16,-3.50559144e-21,1.77029886e-19,7.91158082e-16,7.28820566e-20,2.19484104e-20,8.19610256e-19,-2.55195145e-17,-1.16467030e-21,-1.73641754e-20,2.46236018e-17
6.55000000e-07,-2.10064142e-17,6.77568455e-20,6.51192170e-16,-2.91054090e-16,-6.75971997e-21,-6.09863722e-20,-3.39131677e-16,-2.09519059e-19,1.24623031e-20,2.19275654e-19,3.68511213e-17,-6.03510975e-21,-9.31736242e-21,-3.68579869e-17
6.65000000e-07,-4.28107874e-18,-1.04683636e-19,4.32162635e-16,7.44084914e-16,1.32018026e-20,9.14795583e-20,-1.17196647e-15,1.87637650e-20,1.43598554e-21,6.07640261e-19,-5.89407876e-18,-2.01170325e-21,2.43521972e-21,5.26581524e-18
6.75000000e-07,2.17382522e-17,2.71077426e-20,-7.16085927e-16,6.08779558e-16,-2.57914915e-21,-2.45639555e-20,8.55681518e-17,-5.93262207e-20,-1.34846983e-20,6.38451084e-20,8.57663211e-18,-2.01170325e-21,1.42936810e-20,-8.57994745e-18
6.85000000e-07,5.62818218e-18,-4.16481303e-20,8.92359020e-17,-3.99834413e-16,2.67510210e-21,3.89635156e-20,3.04970339e-16,2.03269709e-19,-3.89271196e-20,-1.26324376e-18,-4.72444273e-17,5.18807680e-21,3.40930761e-20,4.83040457e-17
6.95000000e-07,2.62451897e-19,-1.32958944e-20,-3.59263365e-16,-4.72369676e-16,2.27143796e-21,1.10114283e-20,8.31370602e-16,-1.22528610e-19,-1.07467305e-20,5.58300591e-19,-3.20686674e-17,5.82335151e-21,9.42324154e-21,3.16283955e-17
7.05000000e-07,1.58612658e-18,8.03533587e-20,1.05044967e-15,4.09077520e-15,-1.85718591e-20,-6.18334051e-20,-5.14281094e-15,-3.35868416e-20,5.36211560e-20,3.41460157e-19,2.23299061e-18,3.70576914e-21,-5.47395042e-20,-2.54345134e-18
7.15000000e-07,1.08478596e-17,1.03520826e-19,-2.91855816e-15,-7.29462819e-16,2.43025664e-20,-1.27901975e-19,3.63717320e-15,6.21477338e-20,-4.97565682e-20,-1.90582413e-21,-2.61473777e-17,4.23516474e-21,4.77514824e-20,2.60849057e-17
7.25000000e-07,2.87603132e-17,-1.22285832e-19,-8.82270879e-16,-1.44529943e-15,-1.36153929e-21,1.23666810e-19,2.29880997e-15,-1.74985096e-19,-2.44183717e-20,-1.48760161e-19,-1.60269222e-18,-1.79994501e-21,2.73168125e-20,1.92533898e-18
7.35000000e-07,2.38921380e-18,5.61448841e-21,3.05776667e-16,2.31143966e-16,-2.22677021e-21,-3.38813179e-21,-5.39309846e-16,4.89613168e-19,-1.36087754e-20,-5.61159328e-20,-1.98452408e-17,4.23516474e-22,1.40819227e-20,1.94108452e-17
7.45000000e-07,-6.04243841e-17,-2.28332868e-20,-1.56049078e-17,-6.97940729e-16,-1.95016101e-20,4.23516474e-20,7.73970004e-16,-7.04702461e-19,-3.22451546e-20,5.15737186e-19,-6.16950211e-17,2.01170325e-21,3.40930761e-20,6.18801276e-17
7.55000000e-07,2.18844044e-16,-1.26118160e-20,-7.47414527e-17,3.61462597e-15,1.42870635e-20,-1.69406589e-21,-3.75872854e-15,3.17445697e-18,2.75500775e-20,8.65667672e-19,7.66991510e-17,-2.32934060e-21,-2.33992852e-20,-8.07410963e-17
7.65000000e-07,1.28702467e-17,-1.12664481e-19,-3.11482852e-16,3.13839517e-15,1.35144768e-20,9.91028548e-20,-2.83978252e-15,4.25533967e-19,3.15403968e-20,7.45283114e-19,-1.99361910e-17,2.64697796e-21,-3.10225817e-20,1.87622099e-17
7.75000000e-07,-1.27710493e-17,9.38407454e-20,-1.24223898e-15,2.30149942e-15,-2.78925303e-20,-6.60685699e-20,-1.04648927e-15,-4.24147612e-19,-6.81944241e-20,-5.02290538e-19,2.83901092e-17,-2.75285708e-21,6.78685149e-20,-2.74605931e-17
7.85000000e-07,3.99961534e-18,-1.00159164e-20,-4.33984338e-16,3.03123638e-15,4.85058711e-21,5.08219768e-21,-2.60125158e-15,2.29343269e-19,-4.36403948e-20,-7.88693553e-19,5.48374424e-17,3.28225267e-21,3.85399991e-20,-5.42762731e-17
7.95000000e-07,-1.66240045e-17,-1.92851783e-19,5.38436574e-16,2.78104997e-15,4.83404350e-21,1.88041314e-19,-3.30286256e-15,-1.70792117e-19,-1.24755380e-20,-1.10855437e-19,-5.12682573e-17,-1.16467030e-21,1.54583513e-20,5.15480859e-17
8.05000000e-07,9.67736590e-18,-3.56043351e-20,-7.60765179e-16,-3.38543826e-16,4.23847346e-21,3.13402190e-20,1.08963167e-15,2.30131573e-19,7.29904173e-21,1.99688017e-19,-6.16139177e-17,5.08219768e-21,-7.72917564e-21,6.11794461e-17
8.15000000e-07,3.56066811e-17,1.06811971e-19,8.52128611e-16,2.78761093e-15,-3.47415857e-21,-1.03338020e-19,-3.67534622e-15,2.64567101e-19,4.17660035e-20,2.74756312e-19,2.50224121e-18,7.94093388e-21,-4.53162627e-20,-3.04595695e-18
8.25000000e-07,1.73662853e-17,4.99902467e-20,-1.42229883e-15,-6.97694090e-18,-1.02338785e-20,-3.98105485e-20,1.41190954e-15,1.51434436e-19,-3.01920924e-21,9.12254484e-19,4.11134970e-17,-6.35274710e-21,9.52912066e-21,-4.21773439e-17
8.35000000e-07,1.81699052e-18,3.19775617e-20,1.32930672e-15,-4.29187052e-15,1.72616050e-20,-4.91279109e-20,2.96074670e-15,-5.82388918e-20,1.82219617e-20,-1.17525821e-19,-3.67459833e-17,2.32934060e-21,-2.09640654e-20,3.69221596e-17
8.45000000e-07,1.03176605e-16,-4.98649289e-20,2.58177310e-16,-1.20642638e-17,1.01379256e-20,3.98105485e-20,-3.49289734e-16,2.14873234e-18,1.22389643e-20,-2.14934610e-19,1.08822558e-17,-1.05879118e-21,-1.20702195e-20,-1.28151651e-17
8.55000000e-07,1.47494482e-18,2.34954242e-19,2.11850029e-15,-4.47039161e-16,8.20563168e-21,-2.43098456e-19,-1.67293613e-15,4.99712216e-20,-8.46288485e-21,-2.00852688e-19,-5.12766218e-17,8.99972506e-21,1.79994501e-21,5.14251669e-17
8.65000000e-07,1.66294490e-17,-9.96339048e-22,1.68184591e-15,1.88187581e-15,-2.37897144e-21,3.38813179e-21,-3.58035118e-15,2.67798483e-19,2.85269778e-20,6.09651964e-19,-3.11113084e-17,-1.90582413e-21,-2.54109884e-20,3.02326474e-17
8.75000000e-07,-9.69956329e-18,1.90127464e-20,4.55299277e-16,1.69861149e-15,4.33442641e-22,-1.94817578e-20,-2.14421116e-15,-1.46915962e-19,-3.48168592e-20,-6.42474490e-19,-3.17658531e-18,-8.47032947e-22,3.66341750e-20,3.96500424e-18
8.85000000e-07,-1.38266285e-17,-6.74565790e-22,-2.49496278e-16,8.31644178e-17,2.35911911e-21,-1.69406589e-21,1.80158498e-16,-3.99373553e-19,-3.13451821e-20,-6.93296467e-19,-1.95808606e-17,-6.35274710e-21,3.43048344e-20,2.06769246e-17
8.95000000e-07,-8.55123901e-18,-8.11257386e-22,-4.67642701e-16,-6.61642383e-17,8.00710833e-22,0.00000000e+00,5.42358189e-16,5.55522092e-20,-1.45426623e-20,-7.61270861e-19,-5.56231713e-17,-2.32934060e-21,1.77876919e-20,5.63279755e-17
9.05000000e-07,3.56822865e-19,1.81907356e-20,1.37606905e-15,7.62564625e-16,-8.81443661e-21,-9.31736242e-21,-2.13899056e-15,-6.10492379e-20,2.04545222e-20,1.17144657e-18,1.83287342e-17,1.65171425e-20,-2.90108784e-20,-1.94470923e-17
9.15000000e-07,7.72144511e-17,-9.94992811e-20,2.65589169e-15,4.25870762e-15,-1.39992047e-20,1.13502415e-19,-6.99181376e-15,1.57674521e-18,-1.09981934e-20,-5.78947019e-19,-4.69563302e-17,1.69406589e-21,1.03761536e-20,4.59574600e-17
9.25000000e-07,-3.45019660e-18,2.24856642e-20,9.50745749e-16,2.08856855e-15,2.07225287e-20,-4.31986803e-20,-3.03586412e-15,-2.94542473e-20,3.18034402e-20,-3.09378784e-19,2.60824738e-17,-3.59989003e-21,-3.09167026e-20,-2.57409276e-17
9.35000000e-07,7.05891430e-19,-2.32003482e-21,1.15254711e-16,-6.67545604e-16,6.31965988e-22,1.69406589e-21,5.51584995e-16,2.22534746e-19,-2.83292816e-20,-1.02808624e-18,-1.77934094e-17,6.14098887e-21,2.32934060e-20,1.85978557e-17
9.45000000e-07,-3.50953605e-18,-6.21233320e-20,-5.20717455e-16,2.28297628e-15,-2.25654871e-21,6.43745040e-20,-1.75874928e-15,-5.14812398e-20,4.02820415e-20,5.71747239e-21,-8.57112639e-18,-2.32934060e-21,-3.74812079e-20,8.61641949e-18
9.55000000e-07,-5.82861714e-18,4.94947655e-20,-6.31632052e-16,2.55350854e-17,-3.51584848e-20,-1.43995601e-20,6.11925647e-16,-3.29790706e-19,2.28384567e-21,7.87740641e-19,-4.10959210e-18,-2.11758237e-21,-1.48230766e-21,3.65295863e-18
9.65000000e-07,-1.05520642e-16,1.43633296e-19,6.29920125e-16,-2.68941636e-15,-2.16655146e-20,-1.21972744e-19,2.16501688e-15,-1.42157399e-18,2.25282640e-20,-4.97631857e-20,-4.61671073e-17,8.25857124e-21,-2.64697796e-20,4.76341286e-17
9.75000000e-07,-1.96798888e-16,6.62683340e-20,-1.38891654e-15,-3.64483848e-15,2.26713662e-20,-8.89384595e-20,5.23055391e-15,-3.57550019e-18,3.25354950e-20,-6.43745040e-20,-4.22881199e-17,1.69406589e-21,-3.47283508e-20,4.59284921e-17
9.85000000e-07,-1.47831741e-17,1.23482969e-19,-2.43394314e-15,-4.83911726e-16,2.12850115e-20,-1.44842634e-19,2.93263811e-15,-6.32420937e-21,5.66941320e-20,6.67250204e-19,4.51045044e-19,-7.41153829e-21,-5.39983504e-20,-1.10725404e-18
9.95000000e-07,-1.87414577e-16,1.89869383e-19,3.30276855e-15,-2.24807277e-15,-5.17781976e-20,-1.38066370e-19,-8.67281228e-16,-4.20707699e-18,-6.29517533e-20,-4.15046144e-20,-8.56934762e-17,-4.23516474e-21,6.60685699e-20,8.99431762e-17
